,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA,spp
efu-miR-196,1.48567554790159,-0.177397953078295,0.131139998747858,-1.35273718752565,0.176139605677404,0.825681914855136,FALSE,efu-miR-196,efu
efu-miR-182,1.02100818633073,-0.235432978274223,0.174185859539868,-1.35161935013637,0.176497116934636,0.825681914855136,FALSE,efu-miR-182,efu
hsa-miR-182-5p,1.02100818633073,-0.235432978274223,0.174185859539868,-1.35161935013637,0.176497116934636,0.825681914855136,FALSE,hsa-miR-182-5p,hsa
hsa-miR-628-5p,15.0553576357589,0.0647841510445844,0.0485817461653855,1.33350807984632,0.182365125751912,0.840047169893009,FALSE,hsa-miR-628-5p,hsa
efu-miR-181d,584.898184441473,-0.0515956089309476,0.0390731368111622,-1.32048801662138,0.186672134360199,0.840047169893009,FALSE,efu-miR-181d,efu
hsa-miR-339-5p,34.2708479231371,0.0433857101173282,0.0329258409041218,1.31767963781593,0.187610913719231,0.840047169893009,FALSE,hsa-miR-339-5p,hsa
hsa-miR-181d-5p,584.48486145847,-0.051458011042233,0.0390708312142085,-1.31704418470421,0.187823814398683,0.840047169893009,FALSE,hsa-miR-181d-5p,hsa
pal-miR-33b-3p,4.80011506180282,0.104395974480267,0.0798863737340986,1.30680577425817,0.191278683600582,0.841708676137612,FALSE,pal-miR-33b-3p,pal
pal-miR-20a-3p,41.466018057625,0.0413725220447657,0.0317343794917122,1.30371296705425,0.192331466537587,0.841708676137612,FALSE,pal-miR-20a-3p,pal
pal-miR-599-5p,0.652884085608597,0.282007647860486,0.219991207969124,1.28190417455259,0.199876263376681,0.846945238079576,FALSE,pal-miR-599-5p,pal
hsa-miR-10527-5p,1.21862241594855,-0.209155405762263,0.163415461002485,-1.27989973824498,0.200580399715522,0.846945238079576,FALSE,hsa-miR-10527-5p,hsa
pal-miR-532-5p,4.02656034178108,0.112054715881876,0.0879613207581641,1.27390897403591,0.202695677634438,0.846945238079576,FALSE,pal-miR-532-5p,pal
efu-miR-423,52131.6296270143,-0.0393254511412067,0.0309545275738209,-1.27042646822578,0.203932760028989,0.846945238079576,FALSE,efu-miR-423,efu
hsa-miR-423-5p,52131.6296270143,-0.0393254511412067,0.0309545275738209,-1.27042646822578,0.203932760028989,0.846945238079576,FALSE,hsa-miR-423-5p,hsa
pha-miR-1008,85.2323291464427,-0.0348792365661577,0.0284477391437502,-1.22608114444203,0.220168140698653,0.88206697826884,FALSE,pha-miR-1008,pha
pal-miR-186-5p,5929.03279287616,0.0275960682860267,0.0225641590631953,1.22300450944077,0.221327993085769,0.88206697826884,FALSE,pal-miR-186-5p,pal
hsa-miR-186-5p,5931.55089720856,0.0275520628581417,0.0225613603476667,1.22120574440411,0.222008129822197,0.88206697826884,FALSE,hsa-miR-186-5p,hsa
hsa-miR-1224-5p,39.9337983628762,-0.0426352502295185,0.0352775940138073,-1.20856456970483,0.226830175070081,0.88206697826884,FALSE,hsa-miR-1224-5p,hsa
pal-miR-1224-5p,39.9337983628762,-0.0426352502295185,0.0352775940138073,-1.20856456970483,0.226830175070081,0.88206697826884,FALSE,pal-miR-1224-5p,pal
hsa-miR-146a-5p,114.549857695979,-0.0506789932852414,0.0428290732363186,-1.1832848449839,0.236696276957875,0.88206697826884,FALSE,hsa-miR-146a-5p,hsa
efu-miR-210,2.73640473468293,0.135104758453514,0.118010474527256,1.14485395465731,0.252269660614466,0.88206697826884,FALSE,efu-miR-210,efu
hsa-miR-195-5p,1125.02856292936,0.0268825290159038,0.0237202947362382,1.13331344803378,0.257082646321256,0.88206697826884,FALSE,hsa-miR-195-5p,hsa
pal-miR-195-5p,1124.63289473652,0.0268843509347983,0.0237246570253508,1.1331818582697,0.257137891040759,0.88206697826884,FALSE,pal-miR-195-5p,pal
hsa-miR-432-5p,2.75452781338819,0.314180623035489,0.280698789037186,1.11928029370254,0.26302058011439,0.88206697826884,FALSE,hsa-miR-432-5p,hsa
pal-miR-432-5p,2.75452781338819,0.314180623035489,0.280698789037186,1.11928029370254,0.26302058011439,0.88206697826884,FALSE,pal-miR-432-5p,pal
efu-miR-16,6908008.17446057,-0.0161064617321064,0.0144281662228464,-1.11632077724489,0.26428485104417,0.88206697826884,FALSE,efu-miR-16,efu
hsa-miR-16-5p,6908008.17446057,-0.0161064617321064,0.0144281662228464,-1.11632077724489,0.26428485104417,0.88206697826884,FALSE,hsa-miR-16-5p,hsa
hsa-miR-139-5p,6.51722299193783,-0.0693290396010792,0.062881301984709,-1.10253823335175,0.270227746213634,0.88206697826884,FALSE,hsa-miR-139-5p,hsa
efu-miR-335,1.15178448740588,-0.193569437986908,0.177350924232383,-1.09144871291042,0.275075487621973,0.88206697826884,FALSE,efu-miR-335,efu
pal-miR-335-5p,1.15178448740588,-0.193569437986908,0.177350924232383,-1.09144871291042,0.275075487621973,0.88206697826884,FALSE,pal-miR-335-5p,pal
hsa-miR-10400-5p,4.72032126853109,-0.0965909354906475,0.0895874286902501,-1.07817510673972,0.280955618798335,0.88206697826884,FALSE,hsa-miR-10400-5p,hsa
mmu-miR-182-5p,0.456080060016291,-0.325273060582529,0.302376935287527,-1.07572047541665,0.282052287345875,0.88206697826884,FALSE,mmu-miR-182-5p,mmu
pal-miR-151-3p,449.753012605859,0.0304694788661959,0.0285058122290825,1.06888653518562,0.285120799927258,0.88206697826884,FALSE,pal-miR-151-3p,pal
pal-miR-107b-3p,9.2209916140062,-0.0601569229725797,0.0564384056647147,-1.06588629257098,0.286475046111975,0.88206697826884,FALSE,pal-miR-107b-3p,pal
hsa-miR-135b-5p,1.49831390357886,0.144109818338742,0.136397636555959,1.05654190187979,0.290720707720285,0.88206697826884,FALSE,hsa-miR-135b-5p,hsa
pal-miR-23a-5p,0.704178794656508,0.22565076824335,0.214254336133126,1.05319113869949,0.292253398924404,0.88206697826884,FALSE,pal-miR-23a-5p,pal
mmu-miR-3962,9.41530184142721,-0.0528545044590466,0.0503099133697929,-1.05057832380967,0.293452300849839,0.88206697826884,FALSE,mmu-miR-3962,mmu
pha-miR-1048,1.98186874116913,0.130237261055326,0.124123827095734,1.04925270274559,0.294061828137534,0.88206697826884,FALSE,pha-miR-1048,pha
pal-miR-339a-5p,44.2161091215671,0.0350595750387448,0.033666499832628,1.04137867651946,0.297699834993122,0.88206697826884,FALSE,pal-miR-339a-5p,pal
