,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA,spp
pha-miR-1055,0.629729865634825,-0.909890936963563,0.765680089394053,-1.18834347342587,0.234698116756291,NA,FALSE,pha-miR-1055,pha
hsa-miR-122-5p,21.4955060275141,0.392055333024148,0.333768174617684,1.1746336614425,0.240141310153079,0.549112932133475,FALSE,hsa-miR-122-5p,hsa
pha-miR-1003,235.781003944914,0.186221753300249,0.15948539830086,1.16764139717012,0.242951444470621,0.552022585854133,FALSE,pha-miR-1003,pha
mmu-miR-3970,16.5935693605181,0.245560820065031,0.211958369540403,1.15853325630637,0.246646488299276,0.556893643392705,FALSE,mmu-miR-3970,mmu
hsa-miR-202-5p,15.446605565004,-0.364500164700907,0.316040980679507,-1.15333196320683,0.248774155555757,0.55818701152823,FALSE,hsa-miR-202-5p,hsa
efu-miR-218a,1.00441103548376,0.753872863456564,0.657067516548347,1.14732937555146,0.251245517666191,0.560230688460637,FALSE,efu-miR-218a,efu
efu-miR-9-5p,186.395280172388,-0.173418573515932,0.153226114836321,-1.13178209668229,0.257726056417997,0.56762978069976,FALSE,efu-miR-9-5p,efu
hsa-miR-9-5p,186.395280172388,-0.173418573515932,0.153226114836321,-1.13178209668229,0.257726056417997,0.56762978069976,FALSE,hsa-miR-9-5p,hsa
hsa-miR-150-5p,177.346306884951,0.270736837126697,0.242116659628884,1.11820821227949,0.263478077696953,0.576380591943715,FALSE,hsa-miR-150-5p,hsa
hsa-miR-9985,3.92768127842779,-0.391883803391023,0.353865676828514,-1.10743660392057,0.268105207489843,0.576380591943715,FALSE,hsa-miR-9985,hsa
hsa-miR-98-5p,7999.19757838439,0.0923819333390078,0.0839058633479471,1.10101880432255,0.270888473131895,0.576380591943715,FALSE,hsa-miR-98-5p,hsa
hsa-miR-29b-1-5p,1.75740301842471,0.660955362132195,0.600868819318127,1.099999435621,0.271332367795231,0.576380591943715,FALSE,hsa-miR-29b-1-5p,hsa
mmu-miR-29b-1-5p,1.75740301842471,0.660955362132195,0.600868819318127,1.099999435621,0.271332367795231,0.576380591943715,FALSE,mmu-miR-29b-1-5p,mmu
pal-miR-29b-5p,1.75740301842471,0.660955362132195,0.600868819318127,1.099999435621,0.271332367795231,0.576380591943715,FALSE,pal-miR-29b-5p,pal
pha-miR-1058,0.606386484804461,1.00257238342871,0.911695439604988,1.09967905933926,0.271471981819898,NA,FALSE,pha-miR-1058,pha
pal-miR-9993a-3p,3.07972905831525,-0.402309402357272,0.373570971604254,-1.07692897183527,0.281511998747462,0.594487103237288,FALSE,pal-miR-9993a-3p,pal
pha-miR-1038,2.51113272409733,0.539517395301032,0.509425299200864,1.05907067463546,0.289567594173866,0.607922609990747,FALSE,pha-miR-1038,pha
hsa-miR-215-5p,4.43795185076828,-0.374824688890071,0.368262157704826,-1.01782027028285,0.308763377102847,0.634416004396565,FALSE,hsa-miR-215-5p,hsa
hsa-miR-26a-5p,61307.5946830282,0.0673071717155426,0.0661457394843542,1.01755868541561,0.308887729752962,0.634416004396565,FALSE,hsa-miR-26a-5p,hsa
efu-miR-26a,30648.9495412664,0.0672954885031553,0.0661630872483268,1.01711530253385,0.309098581456102,0.634416004396565,FALSE,efu-miR-26a,efu
efu-miR-26c,30658.6451417618,0.0672523235918283,0.0661421270278133,1.01678501454222,0.309255712449579,0.634416004396565,FALSE,efu-miR-26c,efu
efu-miR-215,4.45461243435385,-0.361018760594234,0.364567733441918,-0.990265257942116,0.322044483082364,0.652410078706661,FALSE,efu-miR-215,efu
pha-miR-1041,2.52571491446521,0.421276928085902,0.426424647130653,0.987928185954097,0.323187820264062,0.652410078706661,FALSE,pha-miR-1041,pha
pha-miR-1039,2.7696535405818,0.425444482725597,0.430902437160317,0.987333665433204,0.323479091949264,0.652410078706661,FALSE,pha-miR-1039,pha
hsa-miR-874-5p,0.76975304006683,0.854178333429857,0.867944079804458,0.984139823411547,0.325046768717957,NA,FALSE,hsa-miR-874-5p,hsa
mmu-miR-874-5p,0.76975304006683,0.854178333429857,0.867944079804458,0.984139823411547,0.325046768717957,NA,FALSE,mmu-miR-874-5p,mmu
pal-miR-874-5p,0.76975304006683,0.854178333429857,0.867944079804458,0.984139823411547,0.325046768717957,NA,FALSE,pal-miR-874-5p,pal
hsa-miR-4286,13.1703010900833,-0.231383835504395,0.237727783146136,-0.973314235476461,0.330397149474588,0.656296610860494,FALSE,hsa-miR-4286,hsa
efu-miR-34a,94.3937473277131,0.230917822495085,0.237491154929368,0.972321779999606,0.3308904918266,0.656296610860494,FALSE,efu-miR-34a,efu
