"","BatProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"302","XP_045673407","GPR25",1.67515370022896,0.49727356300411,0.414567189970203,1.19950052738098,0.230333379814871,0.351942731208599,FALSE,"3J239","GPR25","GPR25_3J239"
"316","XP_045673435","ARL13A",0,NA,NA,NA,NA,NA,FALSE,"3JE9H","ARL13A","ARL13A_3JE9H"
"323","XP_045673461","XKRX",0.048618279343926,0.165397834098981,3.01726662737603,0.0548171091670543,0.956284169752387,NA,FALSE,"3JFFX","XKRX","XKRX_3JFFX"
"324","XP_045673463","RHOU",3.73408663995575,1.34565745580217,0.349926193502051,3.84554652035297,0.000120284040125789,0.000393574288844238,TRUE,"3J946","RHOU","RHOU_3J946"
"327","XP_045673509","PGRMC1",17.7591330906441,0.108091717111976,0.120199125097489,0.899272078929915,0.368507755698,0.504507287772695,FALSE,"3JB9K","PGRMC1","PGRMC1_3JB9K"
"330","XP_045673516","SLC25A43",0.58097572557611,-0.24420950191458,0.731037121926827,-0.334058961699382,0.738335066691822,0.830601047170221,FALSE,"3J3CM","SLC25A43","SLC25A43_3J3CM"
"336","XP_045673529","GLA",240.205920093114,1.62296423788566,0.0864007747520972,18.7841398707628,1.01822748897162e-78,6.5040802114271e-77,TRUE,"3J8I7","GLA","GLA_3J8I7"
"337","XP_045673533","TCEAL8",1.55797982173206,-0.25698342563044,0.409374360709199,-0.627746752838264,0.530169852745201,0.661032214718393,FALSE,"3JGXQ","TCEAL8","TCEAL8_3JGXQ"
"347","XP_045673565","WDR44",73.3116675814974,-0.133835033506448,0.058050354301496,-2.30549899508535,0.0211386429698262,0.046325295617171,TRUE,"3JEAS","WDR44","WDR44_3JEAS"
"350","XP_045673572","LOC123805149",9.91094795586069,0.00535409916484013,0.180807670610941,0.0296121240141464,0.976376395989646,0.98663607757411,FALSE,"3JEWV","RPS8","RPS8_3JEWV"
"359","XP_045673631","CENPI",75.6941293049089,0.364860751507832,0.0638397116488588,5.71526315022687,1.09534386544929e-08,5.53297044573047e-08,TRUE,"3JCG4","CENPI","CENPI_3JCG4"
"366","XP_045673660","FAM199X",34.6393618249201,-0.900312625131279,0.0846580462954281,-10.6346964586153,2.0549678744798e-26,2.55603568126723e-25,TRUE,"3JB79","FAM199X","FAM199X_3JB79"
"370","XP_045673673","NDUFA1",9.23995835815133,-0.0450858126157251,0.157321875028198,-0.286583239664821,0.774431449181358,0.85654383448708,FALSE,"3JHW7","NDUFA1","NDUFA1_3JHW7"
