"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"KIF3A",33.9402054043904,0.105980217518109,0.143241795519292,0.739869373557495,0.459379259485983,0.639886724312453,FALSE,"kinesin family member 3A%2C transcript variant X1;transcript_id=XM_045826936.1",NA,NA
"KIF3B",158.09349529332,1.25620638670324,0.105581164416374,11.8980160301057,1.21194176367981e-32,5.02499724811758e-31,TRUE,"kinesin family member 3B%2C transcript variant X2;transcript_id=XM_045832860.1",NA,NA
"KIF3C",20.7243871220658,-1.41560396490545,0.198102977433777,-7.14579852985131,8.94742102491353e-13,1.02074720331558e-11,TRUE,"kinesin family member 3C%2C transcript variant X4;transcript_id=XM_045844475.1",NA,NA
"KIF4A",152.543408848834,-0.0997038369177583,0.0919254104307904,-1.08461671751604,0.278091447637233,0.457455512935293,FALSE,"kinesin family member 4A%2C transcript variant X1;transcript_id=XM_045847500.1",NA,NA
"KIF5A",5.98167485005057,-0.339897112319207,0.320769443791612,-1.05963058170847,0.289312695119604,0.470229613268454,FALSE,"kinesin family member 5A%2C transcript variant X2;transcript_id=XM_045829449.1",NA,NA
"KIF5B",1136.45887777412,0.16922464538296,0.0516849715635939,3.27415572193443,0.00105978191337114,0.00409163359995906,TRUE,"kinesin family member 5B%2C transcript variant X1;transcript_id=XM_045820075.1",NA,NA
"KIF5C",63.01674142334,0.226069427364185,0.106371351184861,2.12528490844592,0.0335628467701701,0.0873562856198284,FALSE,"kinesin family member 5C;transcript_id=XM_045861229.1",NA,NA
"KIF6",0.148933305128938,-0.555739004514326,2.97074172932683,-0.187070790782023,0.851605129431919,NA,FALSE,"kinesin family member 6;transcript_id=XM_045842819.1",NA,NA
"KIF7",0.424178890785535,-0.328679360540407,1.73902781987019,-0.189001784091609,0.850091418489794,NA,FALSE,"kinesin family member 7%2C transcript variant X2;transcript_id=XM_045824788.1",NA,NA
"KIF9",2.34821154932967,-0.263787060116736,0.510425390934291,-0.516798468104997,0.605296849527974,0.760724523016103,FALSE,"kinesin family member 9%2C transcript variant X1;transcript_id=XM_045856839.1",NA,NA
"KIFAP3",26.6482809383934,-0.118531958932871,0.147107802872465,-0.805748958371927,0.420387613932863,0.604630600270466,FALSE,"kinesin associated protein 3%2C transcript variant X1;transcript_id=XM_045838758.1",NA,NA
"KIFC1",9.4850004890261,-0.4267457674584,0.229955664969204,-1.85577410113185,0.0634857635708333,0.148521828805784,FALSE,"kinesin family member C1%2C transcript variant X3;transcript_id=XM_045834380.1",NA,NA
"KIFC2",0.597611839686904,-1.35235448482396,1.02996413611705,-1.31301123738377,0.189179161594881,NA,FALSE,"kinesin family member C2%2C transcript variant X1;transcript_id=XM_045860824.1",NA,NA
"KIFC3",0.484598979490855,1.35679527406695,1.41555645413974,0.958488988622851,0.337816241396965,NA,FALSE,"kinesin family member C3%2C transcript variant X2;transcript_id=XM_045818610.1",NA,NA
"KIN",56.454672395891,0.369546541248301,0.103712449697737,3.56318399888652,0.000366383678075377,0.00156323702645494,TRUE,"Kin17 DNA and RNA binding protein%2C transcript variant X1;transcript_id=XM_045857731.1",NA,NA
"KIRREL1",23.4202997919895,-0.0949183977878968,0.16189402811431,-0.586299562086854,0.557674225263985,0.723246216301328,FALSE,"kirre like nephrin family adhesion molecule 1%2C transcript variant X4;transcript_id=XM_045841425.1",NA,NA
"KIRREL2",0.857777033621624,2.76456461890704,0.917745244602656,3.01234425911297,0.00259238420114925,0.0092643498421052,TRUE,"kirre like nephrin family adhesion molecule 2;transcript_id=XM_045846831.1",NA,NA
"KIRREL3",0.777272010046413,-0.445101101017476,0.937394880625385,-0.474827748921059,0.63490975280245,0.782613923697354,FALSE,"kirre like nephrin family adhesion molecule 3%2C transcript variant X1;transcript_id=XM_045860273.1",NA,NA
"KISS1",0,NA,NA,NA,NA,NA,FALSE,"KiSS-1 metastasis suppressor%2C transcript variant X1;transcript_id=XM_045841579.1",NA,NA
"KISS1R",1.52743872779813,-0.477732894152382,0.62115880204144,-0.769099451834719,0.441834273592315,0.62338806563821,FALSE,"KISS1 receptor%2C transcript variant X3;transcript_id=XM_045831522.1",NA,NA
"KIT",23.659648058684,0.171806522649171,0.163683833017324,1.04962426332591,0.29389089713118,0.475543912973724,FALSE,"KIT proto-oncogene%2C receptor tyrosine kinase%2C transcript variant X1;transcript_id=XM_045834392.1",NA,NA
"KITLG",9.10184308460512,0.333777565618415,0.261526677116347,1.2762658452236,0.201861559457241,0.364579940640337,FALSE,"KIT ligand%2C transcript variant X1;transcript_id=XM_045830590.1",NA,NA
"KIZ",27.3161438993072,-0.0877736352248591,0.161326347075376,-0.544075018222836,0.586389850674349,0.746181797030271,FALSE,"kizuna centrosomal protein;transcript_id=XM_045833099.1",NA,NA
"KL",0.272358878834886,0.669533994020506,2.20954736821093,0.303018619855445,0.761875671706392,NA,FALSE,"klotho%2C transcript variant X1;transcript_id=XM_045838877.1",NA,NA
"KLB",22.7911011883672,0.462640503870958,0.159452596627564,2.90142972680184,0.00371464085383325,0.0127946897118187,TRUE,"klotho beta;transcript_id=XM_045834131.1",NA,NA
"KLC1",93.9625474896101,-0.265966038489863,0.0888806962282007,-2.99239373425919,0.00276799013730489,0.00981910760758756,TRUE,"kinesin light chain 1%2C transcript variant X13;transcript_id=XR_006783838.1",NA,NA
"KLC2",4.78354104692265,-0.110695285105854,0.361924097595424,-0.305852210011156,0.759717174165404,0.867258457500955,FALSE,"kinesin light chain 2%2C transcript variant X3;transcript_id=XM_045855127.1",NA,NA
"KLC3",5.59796338812099,1.82882187493606,0.350963299495763,5.21086357907955,1.87963632516687e-07,1.28110961906203e-06,TRUE,"kinesin light chain 3%2C transcript variant X3;transcript_id=XM_045845186.1",NA,NA
"KLC4",21.9738420066617,-0.311610913213472,0.162071022159608,-1.92268123604846,0.0545200947651651,0.130841441054599,FALSE,"kinesin light chain 4%2C transcript variant X2;transcript_id=XM_045842974.1",NA,NA
"KLF1",25.9563734190605,-0.247225507346911,0.165530343793483,-1.49353587796175,0.135296969996185,0.269894007400564,FALSE,"Kruppel like factor 1%2C transcript variant X2;transcript_id=XR_006787462.1",NA,NA
"KLF10",140.304561905227,0.751845902925791,0.128206211033766,5.864348512162,4.50899535429461e-09,3.63738202639331e-08,TRUE,"Kruppel like factor 10;transcript_id=XM_045861514.1",NA,NA
"KLF11",12.1334645800218,0.241809558754903,0.223532761660879,1.08176339324144,0.279357676501438,0.45906805906224,FALSE,"Kruppel like factor 11%2C transcript variant X2;transcript_id=XM_045844666.1",NA,NA
"KLF12",229.9861575723,0.447933925142572,0.0968209106349487,4.62641718823996,3.72045524984932e-06,2.15406538189474e-05,TRUE,"Kruppel like factor 12;transcript_id=XM_045838960.1",NA,NA
"KLF13",515.82789585887,-0.81592075245478,0.103211554956106,-7.90532370916976,2.67238222965467e-15,3.66036916664317e-14,TRUE,"Kruppel like factor 13;transcript_id=XM_045824710.1",NA,NA
"KLF14",0,NA,NA,NA,NA,NA,FALSE,"Kruppel like factor 14;transcript_id=XM_045855784.1",NA,NA
"KLF15",5.37008398317704,0.212348268556897,0.360251206343998,0.589444989544681,0.555562804077607,0.721357074677415,FALSE,"Kruppel like factor 15;transcript_id=XM_045850176.1",NA,NA
"KLF16",38.5740526408464,-0.368242981637152,0.140977436889298,-2.61207034091785,0.00899957353880902,0.0278008055803305,TRUE,"Kruppel like factor 16;transcript_id=XM_045831844.1",NA,NA
"KLF17",0.147556810957488,-0.160625051518708,2.97354812513992,-0.0540179760874559,0.956920842304155,NA,FALSE,"Kruppel like factor 17;transcript_id=XM_045860069.1",NA,NA
"KLF2",376.070363045767,-0.574281498198173,0.0830107701605149,-6.91815648846176,4.57558705419801e-12,4.85377267702546e-11,TRUE,"Kruppel like factor 2;transcript_id=XM_045853144.1",NA,NA
"KLF3",2386.73134629838,-0.603944099100551,0.0662660679962538,-9.11392689143248,7.94528506356119e-20,1.52993853708324e-18,TRUE,"Kruppel like factor 3%2C transcript variant X1;transcript_id=XM_045834707.1",NA,NA
"KLF4",77.5600779692349,-1.83259643641047,0.171436909753372,-10.6896259332184,1.13829140071521e-26,3.31890483263352e-25,TRUE,"Kruppel like factor 4%2C transcript variant X1;transcript_id=XM_045840886.1",NA,NA
"KLF5",73.5797669951112,0.769213256842444,0.154979915224687,4.96330931480543,6.93020792415956e-07,4.39159930247482e-06,TRUE,"Kruppel like factor 5;transcript_id=XM_045839092.1",NA,NA
"KLF6",1033.70622759223,-0.136296918925486,0.0836688500205542,-1.62900432947271,0.103312102428588,0.219307165959061,FALSE,"Kruppel like factor 6;transcript_id=XM_045820268.1",NA,NA
"KLF7",293.271088553564,-0.447231243701861,0.0731009639776023,-6.11799379060022,9.47607584329722e-10,8.18359427810842e-09,TRUE,"Kruppel like factor 7%2C transcript variant X1;transcript_id=XM_045853241.1",NA,NA
"KLF8",34.8811032769979,-0.662052460162552,0.150796765328522,-4.3903624770745,1.13161865284309e-05,6.10496191026648e-05,TRUE,"Kruppel like factor 8;transcript_id=XM_045833237.1",NA,NA
"KLF9",56.8134701787416,-1.17002311225451,0.135157628285064,-8.65673012393196,4.854903394567e-18,8.13935108236973e-17,TRUE,"Kruppel like factor 9;transcript_id=XM_045840241.1",NA,NA
"KLHDC1",7.9534597408905,0.28365821724991,0.256007686039253,1.10800664479432,0.267858946201871,0.445296010586081,FALSE,"kelch domain containing 1;transcript_id=XM_045848442.1",NA,NA
"KLHDC10",49.6221432951389,-0.391054076511213,0.112699772473421,-3.46987458739935,0.000520701432706578,0.00214913002356603,TRUE,"kelch domain containing 10;transcript_id=XM_045855623.1",NA,NA
"KLHDC2",52.0206064286345,-0.189398181352287,0.106265462526532,-1.78231173938567,0.074698409373427,0.169808145346461,FALSE,"kelch domain containing 2;transcript_id=XM_045848718.1",NA,NA
"KLHDC3",248.94916526301,-0.337472087594918,0.0708041899968328,-4.76627283794948,1.87665093273024e-06,1.12409568879345e-05,TRUE,"kelch domain containing 3%2C transcript variant X2;transcript_id=XM_045842893.1",NA,NA
"KLHDC4",14.3675160246968,0.207730569317008,0.189831619444032,1.09428855912096,0.273828441460094,0.452198060072858,FALSE,"kelch domain containing 4;transcript_id=XM_045818447.1",NA,NA
"KLHDC7A",82.6908716616368,0.510768803725024,0.121475756300902,4.20469745798349,2.61431618274887e-05,0.000134321161901128,TRUE,"kelch domain containing 7A;transcript_id=XM_045859686.1",NA,NA
"KLHDC7B",0.11976064940639,0.196691431868454,2.9731858402541,0.0661551085053078,0.947254336660189,NA,FALSE,"kelch domain containing 7B;transcript_id=XM_045834750.1",NA,NA
"KLHDC8A",0.908348558681777,-0.12458168231299,0.829856814887039,-0.150124310698042,0.880666540172177,0.937497461219937,FALSE,"kelch domain containing 8A%2C transcript variant X4;transcript_id=XM_045841488.1",NA,NA
"KLHDC8B",0,NA,NA,NA,NA,NA,FALSE,"kelch domain containing 8B%2C transcript variant X2;transcript_id=XM_045857122.1",NA,NA
"KLHDC9",0.707563987860206,0.683728960934343,1.00134885520474,0.68280795187462,0.494728204283357,0.67182703003239,FALSE,"kelch domain containing 9%2C transcript variant X1;transcript_id=XM_045838343.1",NA,NA
"KLHL1",0,NA,NA,NA,NA,NA,FALSE,"kelch like family member 1%2C transcript variant X2;transcript_id=XM_045839157.1",NA,NA
"KLHL10",0.765088692395187,-0.341737934950681,0.867430919938327,-0.393965590914119,0.693606443525517,0.82334913116661,FALSE,"kelch like family member 10%2C transcript variant X2;transcript_id=XM_045837018.1",NA,NA
"KLHL11",62.0912149295136,0.102778112547787,0.111325750468863,0.923219579611404,0.355892787314554,0.54038490953113,FALSE,"kelch like family member 11%2C transcript variant X2;transcript_id=XR_006785381.1",NA,NA
"KLHL12",71.0980436107077,0.567592425239556,0.0970953236981732,5.84572360048927,5.04370927648434e-09,4.0602386158922e-08,TRUE,"kelch like family member 12%2C transcript variant X2;transcript_id=XM_045859759.1",NA,NA
"KLHL13",17.5151895263517,-0.966332459386114,0.192969364965138,-5.00769881043395,5.5084642234907e-07,3.54749695962925e-06,TRUE,"kelch like family member 13%2C transcript variant X3;transcript_id=XM_045817707.1",NA,NA
"KLHL14",3.73813935402545,0.996877190696258,0.4437620801181,2.24642265610202,0.0246769484949609,0.0673301350762916,FALSE,"kelch like family member 14;transcript_id=XM_045850464.1",NA,NA
"KLHL15",86.0356925503619,0.109329634641168,0.0876602437671241,1.24719747450863,0.212325098712841,0.378033282067051,FALSE,"kelch like family member 15%2C transcript variant X1;transcript_id=XR_006787686.1",NA,NA
"KLHL17",2.58088294238846,-0.350566413957667,0.511963162965467,-0.684749293146533,0.49350213778897,0.671055009543954,FALSE,"kelch like family member 17;transcript_id=XM_045859146.1",NA,NA
"KLHL18",31.8184798877326,-0.239231423371602,0.141950335934272,-1.68531776833817,0.0919272793958777,0.200379643499437,FALSE,"kelch like family member 18%2C transcript variant X2;transcript_id=XM_045856843.1",NA,NA
"KLHL2",123.091014538917,-0.687367042231307,0.106595266223334,-6.44838243371115,1.13050207207321e-10,1.0625755002838e-09,TRUE,"kelch like family member 2%2C transcript variant X1;transcript_id=XM_045831724.1",NA,NA
"KLHL20",61.7228384379103,0.178047808394482,0.104169371346379,1.70921458095822,0.0874112089370781,0.192640839685641,FALSE,"kelch like family member 20;transcript_id=XM_045838753.1",NA,NA
"KLHL21",6.56794316540986,0.335302969878228,0.29766748099197,1.12643466716901,0.25998157989466,0.436101782305084,FALSE,"kelch like family member 21;transcript_id=XM_045859230.1",NA,NA
"KLHL22",11.1381882609355,-0.490414121549213,0.238545662372801,-2.0558500903814,0.0397969681226611,0.10071016182509,FALSE,"kelch like family member 22%2C transcript variant X1;transcript_id=XM_045819845.1",NA,NA
"KLHL23",4.13980710045501,0.177794695368702,0.365781057156972,0.486068624631928,0.626918511383182,0.776424531843119,FALSE,"kelch like family member 23%2C transcript variant X3;transcript_id=XM_045830624.1",NA,NA
"KLHL24",349.30591538909,-0.240423907185288,0.0551397304039583,-4.36026628030137,1.29904266476998e-05,6.95468034064981e-05,TRUE,"kelch like family member 24;transcript_id=XM_045851031.1",NA,NA
"KLHL25",20.6770927826028,-0.269235888406936,0.177368762508831,-1.51794422309019,0.129028460283034,0.259944484248369,FALSE,"kelch like family member 25;transcript_id=XM_045825012.1",NA,NA
"KLHL26",18.744826443932,-0.244747935879471,0.1635403962607,-1.49655951358537,0.134507911429771,0.268667447020562,FALSE,"kelch like family member 26%2C transcript variant X1;transcript_id=XM_045853616.1",NA,NA
"KLHL28",243.09657833995,-0.170727441451171,0.0664516135337064,-2.56919933726775,0.0101933803489412,0.031139373836813,TRUE,"kelch like family member 28%2C transcript variant X1;transcript_id=XM_045848606.1",NA,NA
"KLHL29",4.46534686564574,0.126132295075131,0.371363480755089,0.339646469326137,0.734122778796927,0.851041694112273,FALSE,"kelch like family member 29%2C transcript variant X5;transcript_id=XM_045844674.1",NA,NA
"KLHL3",25.7945960251736,-0.323122311596685,0.15708783168645,-2.05695315880127,0.0396907318035428,0.100490782557099,FALSE,"kelch like family member 3%2C transcript variant X1;transcript_id=XM_045826381.1",NA,NA
"KLHL30",0.0703060035336612,0.0483567753333065,2.97157794165739,0.0162730967461468,0.987016520386158,NA,FALSE,"kelch like family member 30;transcript_id=XM_045845573.1",NA,NA
