"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"MTG1",3.9933538694276,-0.0343484295123212,0.238079745466783,-0.144272791643729,0.885285062630826,0.931737152957959,FALSE,"mitochondrial ribosome associated GTPase 1;transcript_id=XM_045854458.1",NA,NA
"LOC123826282",274.385974900916,0.0070993819581103,0.0492165204606741,0.144247945439031,0.885304681820118,0.931737152957959,FALSE,"uncharacterized LOC123826282;transcript_id=XR_006787029.1",NA,NA
"LOC123805428",0.353053374132822,0.279908352775487,1.9416831121219,0.144157587315883,0.885376031463708,NA,FALSE,"uncharacterized LOC123805428;transcript_id=XR_006783302.1",NA,NA
"GIGYF2",220.580697660334,-0.00575877631762652,0.0399663765388659,-0.144090528497782,0.885428983836952,0.931806655162491,FALSE,"GRB10 interacting GYF protein 2%2C transcript variant X3;transcript_id=XM_045845533.1",NA,NA
"MRPL19",7.04870638227513,-0.025631508666199,0.178054514469464,-0.143953152452053,0.885537463153751,0.931844531933156,FALSE,"mitochondrial ribosomal protein L19;transcript_id=XM_045828897.1",NA,NA
"LOC123819321",0.377447713139949,0.23077766908545,1.60349919378392,0.143921287880952,0.88556262539366,NA,FALSE,"LOW QUALITY PROTEIN: olfactory receptor 56B4-like","OR56B4","olfactory receptor family 56 subfamily B member 4"
"LOC123809077",0.696170806841421,-0.0932470971283592,0.64801109690685,-0.143897377025572,0.885581506962548,0.931844531933156,FALSE,"U2 spliceosomal RNA;transcript_id=XR_006783948.1",NA,NA
"MANSC4",0.24957562417213,0.304440616311527,2.11812590912131,0.14373112334848,0.885712793490911,NA,FALSE,"MANSC domain containing 4;transcript_id=XM_045830122.1",NA,NA
"CUNH11orf97",0.154081158593286,0.420852688612031,2.92853708891731,0.143707481187346,0.885731463391545,NA,FALSE,"chromosome unknown C11orf97 homolog;transcript_id=XM_045818255.1",NA,NA
"CFAP157",0.172145471677726,0.420635982383708,2.92703966785219,0.143706963388154,0.8857318722914,NA,FALSE,"cilia and flagella associated protein 157;transcript_id=XM_045845910.1",NA,NA
"GLE1",107.156775210896,0.00821582053536096,0.0572012132309695,0.14363017969893,0.885792507792943,0.932005235337667,FALSE,"GLE1 RNA export mediator;transcript_id=XM_045846348.1",NA,NA
"CRACDL",0.0795122220834501,-0.420248802111045,2.92930281755015,-0.143463761954972,0.885923928927812,NA,FALSE,"CRACD like%2C transcript variant X2;transcript_id=XM_045828584.1",NA,NA
"LOC123825630",0.37982227872065,-0.212448038914888,1.48129699571809,-0.143420286093202,0.885958262605265,NA,FALSE,"serine/threonine-protein kinase PAK 1-like;transcript_id=XM_045849216.1",NA,NA
"FANCG",14.1678905353873,-0.0184703359768159,0.128798056204863,-0.143405393847228,0.885970023331545,0.93213068766143,FALSE,"FA complementation group G%2C transcript variant X4;transcript_id=XR_006785863.1",NA,NA
"LOC123805892",0.344797510840887,0.25639360088629,1.78889282147512,0.143325300324515,0.886033275336217,NA,FALSE,"plasmolipin","PLLP","plasmolipin"
"ALAS2",412339.506584783,-0.00635119801257676,0.0443213990211104,-0.14329868083703,0.886054297620759,0.932158030643915,FALSE,"5'-aminolevulinate synthase 2%2C transcript variant X1;transcript_id=XM_045832932.1",NA,NA
"TUT4",154.826361024353,0.00774168597432387,0.054063246604016,0.143196838159342,0.886134726872177,0.932181325190207,FALSE,"terminal uridylyl transferase 4%2C transcript variant X3;transcript_id=XR_006787927.1",NA,NA
"LOC123811340",0.261386627831781,-0.332121266936256,2.32212198340302,-0.143024901064646,0.886270515160194,NA,FALSE,"echinoderm microtubule-associated protein-like 6;transcript_id=XM_045827296.1",NA,NA
"XKR9",0.337306226344505,0.312002142709903,2.1835206918759,0.142889482967004,0.886377464715692,NA,FALSE,"XK related 9;transcript_id=XM_045861232.1",NA,NA
"SLC25A48",0.145375866190072,0.418143638797277,2.92803831414371,0.14280675111984,0.886442805112255,NA,FALSE,"solute carrier family 25 member 48%2C transcript variant X6;transcript_id=XR_006784175.1",NA,NA
"CCT6B",14.1386640011287,0.0176339170484501,0.123510254772691,0.142772898338715,0.886469541763677,0.932472203461358,FALSE,"chaperonin containing TCP1 subunit 6B%2C transcript variant X7;transcript_id=XM_045835667.1",NA,NA
"EML1",0.17267552259125,0.418000611491376,2.92775052723085,0.142771936202752,0.886470301652731,NA,FALSE,"EMAP like 1%2C transcript variant X2;transcript_id=XM_045822948.1",NA,NA
"GPR179",0.165739804725494,0.417752179340626,2.92767774460178,0.142690629155105,0.886534517834877,NA,FALSE,"G protein-coupled receptor 179;transcript_id=XM_045837390.1",NA,NA
"MYL5",0.304259115246101,-0.217971074893762,1.52879971188679,-0.142576606470412,0.886624574032139,NA,FALSE,"myosin light chain 5;transcript_id=XM_045834667.1",NA,NA
"LOC123815428",0.430954254702942,-0.163016205820063,1.14425396527853,-0.142465056505512,0.886712678668648,NA,FALSE,"U2 spliceosomal RNA;transcript_id=XR_006785092.1",NA,NA
"MYO18B",0.100286141876707,-0.417350735484148,2.92977169886541,-0.142451623669439,0.886723288315003,NA,FALSE,"myosin XVIIIB%2C transcript variant X1;transcript_id=XM_045843131.1",NA,NA
"EFNA1",0.281293570747936,0.264241320265888,1.85649855167058,0.142333168010344,0.886816848933771,NA,FALSE,"ephrin A1;transcript_id=XM_045817342.1",NA,NA
"SMOC2",0.0919986872945388,-0.416564880061729,2.92925768314171,-0.142208342563756,0.886915442350991,NA,FALSE,"SPARC related modular calcium binding 2%2C transcript variant X1;transcript_id=XM_045844201.1",NA,NA
"LOC123820103",0.210101291687821,0.416002531541492,2.92765040411913,0.142094333037916,0.887005494339199,NA,FALSE,"olfactory receptor 13D1","OR13D1","olfactory receptor family 13 subfamily D member 1"
"LOC123806644",0.180972504458654,0.415976032379672,2.92792183858155,0.142072109609727,0.887023047988798,NA,FALSE,"ras-related protein Ral-A-like;transcript_id=XM_045819899.1",NA,NA
"LOC123817333",4.04000630361367,-0.0344242186710489,0.242309005291141,-0.142067434223863,0.887026740949278,0.932887720832096,FALSE,"uncharacterized LOC123817333;transcript_id=XR_006785400.1",NA,NA
"TUBA8",14.2001098813666,0.0191306179319752,0.134696497147092,0.142027583026781,0.887058218428488,0.932887720832096,FALSE,"tubulin alpha 8%2C transcript variant X1;transcript_id=XM_045838949.1",NA,NA
"LOC123826859",21.9722387665244,0.0146136369859313,0.102912339266166,0.142000824100747,0.887079354745186,0.932887720832096,FALSE,"60S ribosomal protein L32-like;transcript_id=XM_045851081.1",NA,NA
"LOC123815847",0.898389964762591,0.0851938298225232,0.600052193520733,0.141977365873223,0.887097883975146,0.932887720832096,FALSE,"uncharacterized LOC123815847;transcript_id=XR_006785181.1",NA,NA
"LOC123819670",0.169119436678805,0.415624480529828,2.92836721924756,0.141930451139465,0.887134941260566,NA,FALSE,"uncharacterized LOC123819670;transcript_id=XR_006785848.1",NA,NA
"ZNF550",9.65933730211221,0.0222459476233838,0.156780002896209,0.141892761911167,0.887164711628298,0.93289665547185,FALSE,"zinc finger protein 550%2C transcript variant X2;transcript_id=XM_045849405.1",NA,NA
"LOC123820818",0.169143269742108,0.415155400290941,2.92765474231908,0.141804767580649,0.887234218143875,NA,FALSE,"U6 spliceosomal RNA;transcript_id=XR_006786024.1",NA,NA
"LOC123832379",0.598112759852864,-0.098631642382672,0.695839571179261,-0.141744802204218,0.88728158515121,0.932958211132367,FALSE,"small nucleolar RNA SNORD99;transcript_id=XR_006788037.1",NA,NA
"LOC123832424",0.140817906480281,-0.41513021114435,2.9287583689127,-0.141742731510646,0.887283220811565,NA,FALSE,"small nucleolar RNA SNORD38;transcript_id=XR_006788075.1",NA,NA
"SPDYA",2.05326954911395,-0.0551841163951361,0.390265489276956,-0.141401476459975,0.887552787943974,0.93318202206219,FALSE,"speedy/RINGO cell cycle regulator family member A;transcript_id=XM_045844693.1",NA,NA
"ABHD14A",0.104279051254844,-0.413934703238507,2.92926772828534,-0.141309959223429,0.887625082241931,NA,FALSE,"abhydrolase domain containing 14A%2C transcript variant X6;transcript_id=XM_045857006.1",NA,NA
"SPTY2D1OS",0.226966431452708,0.413546475367937,2.9271251159277,0.14128076491082,0.887648144567867,NA,FALSE,"SPTY2D1 opposite strand;transcript_id=XM_045825152.1",NA,NA
"NPAS1",0.35326173477968,-0.231200367634013,1.63654272346842,-0.141273652266173,0.887653763283815,NA,FALSE,"neuronal PAS domain protein 1;transcript_id=XM_045845283.1",NA,NA
"GPR173",0.279123541073861,-0.291775598952399,2.06558363464669,-0.141255766195255,0.887667892617467,NA,FALSE,"G protein-coupled receptor 173;transcript_id=XM_045832964.1",NA,NA
"DRD2",0.093528680832007,-0.413744627471253,2.9295759779138,-0.141230208941666,0.887688081963289,NA,FALSE,"dopamine receptor D2%2C transcript variant X4;transcript_id=XM_045840452.1",NA,NA
"LOC123806769",0.160554056865058,0.413210671853197,2.92763842902902,0.141141292502518,0.887758323440616,NA,FALSE,"uncharacterized LOC123806769%2C transcript variant X1;transcript_id=XR_006783528.1",NA,NA
"LOC123818224",0.720650184218159,0.0905417867164567,0.641817736900874,0.141070870296688,0.887813955621194,0.93339525323756,FALSE,"complement factor H-related protein 4-like;transcript_id=XM_045838207.1",NA,NA
"LOC123814449",0.43308115160711,-0.168665609249837,1.19564272986204,-0.141066896521253,0.887817094843407,NA,FALSE,"small nucleolar RNA SNORA33;transcript_id=XR_006784913.1",NA,NA
"LOC123812291",0.945847981578607,-0.0878882553109763,0.623874425412687,-0.140874912852597,0.887968761119822,0.933496640806502,FALSE,"small nucleolar RNA SNORD94;transcript_id=XR_006784566.1",NA,NA
"LOC123815402",0.198164009377828,0.412228824917342,2.92718110060336,0.140827919677526,0.888005886152096,NA,FALSE,"small nucleolar RNA SNORA5;transcript_id=XR_006785069.1",NA,NA
