"","Sample_no","Phase","Phase.batch","Univ.ID","Band","Yr","Mon","Ban_Yr_Mo","Trtmt","Additive","Temp","Duration","SampleTime","DecTime","Sex","Age.all.bat.","Est.Age","Cave","Site","Group","FA","WT","TTH","STATUS","REP","LN.N.L..","X"
"Phase3.S13","S13",3,"Phase3","Phase3.S13",4948,2023,5,"4948_2023_5","C","PBS","38C",3,"2:06 pm",14.1,"F",14.01,14.01,"Tamana","Rd Chamber","R14",78.95,77,4.5,"","EL",1.58224217,""
"Phase3.S14","S14",3,"Phase3","Phase3.S14",4948,2023,5,"4948_2023_5","TH","LPS_1","38C",3,"2:06 pm",14.1,"F",14.01,14.01,"Tamana","Rd Chamber","R14",78.95,77,4.5,"","EL",1.58224217,""
"Phase3.S15","S15",3,"Phase3","Phase3.S15",4949,2023,5,"4949_2023_5","C","PBS","38C",3,"3:12 pm",15.2,"F",12.53,12.53,"Tamana","Rd Chamber","R14",82.1,81.5,3.5,"","EL",-0.231074547,""
"Phase3.S16","S16",3,"Phase3","Phase3.S16",4949,2023,5,"4949_2023_5","TH","LPS_1","38C",3,"3:12 pm",15.2,"F",12.53,12.53,"Tamana","Rd Chamber","R14",82.1,81.5,3.5,"","EL",-0.231074547,""
"Phase3.S17","S17",3,"Phase3","Phase3.S17",6001,2023,5,"6001_2023_5","C","PBS","38C",3,"2:03 pm",14.05,"M",6.04,6.04,"Tamana","Lg Chamber","R12",83.25,91,2.5,"H","ST",0.445523869,""
"Phase3.S18","S18",3,"Phase3","Phase3.S18",6001,2023,5,"6001_2023_5","TH","LPS_1","38C",3,"2:03 pm",14.05,"M",6.04,6.04,"Tamana","Lg Chamber","R12",83.25,91,2.5,"H","ST",0.445523869,""
"Phase3.S19","S19",3,"Phase3","Phase3.S19",6037,2023,5,"6037_2023_5","C","PBS","38C",3,"1:27 pm",13.45,"M",7.69,7.69,"Tamana","Rd Chamber","R9",86.37,91,3.5,"H","ST",1.974572547,""
"Phase3.S2","S2",3,"Phase3","Phase3.S2",3863,2023,5,"3863_2023_5","TH","LPS_1","38C",3,"1:10 pm",13.17,"F",13.79,12.11,"Tamana","Rd Chamber","R14",82.11,80,5,"","EL",-0.412572459,""
"Phase3.S20","S20",3,"Phase3","Phase3.S20",6037,2023,5,"6037_2023_5","TH","LPS_1","38C",3,"1:27 pm",13.45,"M",7.69,7.69,"Tamana","Rd Chamber","R9",86.37,91,3.5,"H","ST",1.974572547,""
"Phase3.S21","S21",3,"Phase3","Phase3.S21",6053,2023,5,"6053_2023_5","C","PBS","38C",3,"2:51 pm",14.85,"M",6.85,6.85,"Tamana","Rd Chamber","R14",85.64,95.5,2,"H","ST",0.897805917,""
