"","Sample_no","Phase","Phase.batch","Univ.ID","Band","Yr","Mon","Ban_Yr_Mo","Trtmt","Additive","Temp","Duration","SampleTime","DecTime","Sex","Age.all.bat.","Est.Age","Cave","Site","Group","FA","WT","TTH","STATUS","REP","LN.N.L..","X"
"Phase6.S6","S6",6,"Phase6","Phase6.S6",6112,2024,1,"6112_2024_1","C0","None","38C",0,"12:00 pm",12,"F",7.3,7.3,"Tamana","Rd Chamber","R6",80.15,73,3,"","EL",0.605235308,""
"Phase6.S7","S7",6,"Phase6","Phase6.S7",6115,2024,1,"6115_2024_1","C0","None","38C",0,"3:20 pm",15.33,"M",5.3,5.3,"Tamana","Rd Chamber","R6",82.1,85.5,2.5,"H","ST",1.261651916,""
"Phase6.S8","S8",6,"Phase6","Phase6.S8",6119,2024,1,"6119_2024_1","C0","None","38C",0,"12:20 pm",12.33,"F",6.5,6.5,"Tamana","Rd Chamber","R10",80.98,73.5,2.5,"","",0.729326837,""
"Phase6.S9","S9",6,"Phase6","Phase6.S9",6123,2024,1,"6123_2024_1","C0","None","38C",0,"4:13 pm",16.22,"F",17.28,17.28,"Tamana","Rd Chamber","R10",82.32,67.5,4.5,"","EL",-0.192943811,""
"Phase7.1.S1","S1",7,"Phase7.1","Phase7.1.S1",6258,2025,1,"6258_2025_1","C0","None","38C",0,"12:10 pm",12.17,"F",3.52,3.52,"Ice House2","Elevator","EL4.7",79.2,76.5,2,"","NP",0.396654478,""
"Phase7.1.S10","S10",7,"Phase7.1","Phase7.1.S10",6383,2025,1,"6383_2025_1","TH","LPS_1","38C",3,"12:10 pm",12.17,"F",12.13,12.13,"Ice House2","Elevator","EL4.7",81.48,73,5,"","NP",0.334639056,""
"Phase7.1.S11","S11",7,"Phase7.1","Phase7.1.S11",6247,2025,1,"6247_2025_1","C0","None","38C",0,"12:10 pm",12.17,"F",12.34,12.34,"Ice House2","Elevator","EL4.7",79.4,71,4.5,"","NP",0.78691534,""
"Phase7.1.S12","S12",7,"Phase7.1","Phase7.1.S12",6247,2025,1,"6247_2025_1","TH","LPS_1","38C",3,"12:10 pm",12.17,"F",12.34,12.34,"Ice House2","Elevator","EL4.7",79.4,71,4.5,"","NP",0.78691534,""
"Phase7.1.S13","S13",7,"Phase7.1","Phase7.1.S13",6417,2025,1,"6417_2025_1","C0","None","38C",0,"12:05 pm",12.08,"M",2.38,2.38,"Ice House2","Stairwell","ST7.4",82.02,73.5,1,"B","AB",0.10333827,""
"Phase7.1.S14","S14",7,"Phase7.1","Phase7.1.S14",6417,2025,1,"6417_2025_1","TH","LPS_1","38C",3,"12:05 pm",12.08,"M",2.38,2.85,"Ice House2","Stairwell","ST7.4",82.02,73.5,1,"B","AB",0.10333827,""
"Phase7.1.S15","S15",7,"Phase7.1","Phase7.1.S15",6334,2025,1,"6334_2025_1","C0","None","38C",0,"11:45 am",11.75,"M",3.92,3.92,"Ice House2","Elevator","EL6.1",78.55,87,2,"B","ST",2.383554156,""
"Phase7.1.S16","S16",7,"Phase7.1","Phase7.1.S16",6334,2025,1,"6334_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"M",3.92,3.92,"Ice House2","Elevator","EL6.1",78.55,87,2,"B","ST",2.383554156,""
"Phase7.1.S17","S17",7,"Phase7.1","Phase7.1.S17",6422,2025,1,"6422_2025_1","C0","None","38C",0,"12:05 pm",12.08,"M",1.77,1.77,"Ice House2","Stairwell","ST7.4",79.2,73,1.5,"B","AB",-0.790359406,""
"Phase7.1.S18","S18",7,"Phase7.1","Phase7.1.S18",6422,2025,1,"6422_2025_1","TH","LPS_1","38C",3,"12:05 pm",12.08,"M",1.77,1.77,"Ice House2","Stairwell","ST7.4",79.2,73,1.5,"B","AB",-0.790359406,""
"Phase7.1.S19","S19",7,"Phase7.1","Phase7.1.S19",6342,2025,1,"6342_2025_1","C0","None","38C",0,"11:45 am",11.75,"M",3.61,3.61,"Ice House2","Elevator","EL6.1",80.47,83.5,2,"B","ST",0.666225523,""
"Phase7.1.S2","S2",7,"Phase7.1","Phase7.1.S2",6258,2025,1,"6258_2025_1","TH","LPS_1","38C",3,"12:10 pm",12.17,"F",3.52,3.52,"Ice House2","Elevator","EL4.7",79.2,76.5,2,"","NP",0.396654478,""
"Phase7.1.S20","S20",7,"Phase7.1","Phase7.1.S20",6342,2025,1,"6342_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"M",3.61,3.61,"Ice House2","Elevator","EL6.1",80.47,83.5,2,"B","ST",0.666225523,""
"Phase7.1.S21","S21",7,"Phase7.1","Phase7.1.S21",6420,2025,1,"6420_2025_1","C0","None","38C",0,"12:05 pm",12.08,"M",3.44,3.44,"Ice House2","Stairwell","ST7.4",81.21,83.5,2,"B","ST",-0.939591297,""
"Phase7.1.S22","S22",7,"Phase7.1","Phase7.1.S22",6420,2025,1,"6420_2025_1","TH","LPS_1","38C",3,"12:05 pm",12.08,"M",3.44,3.44,"Ice House2","Stairwell","ST7.4",81.21,83.5,2,"B","ST",-0.939591297,""
"Phase7.1.S23","S23",7,"Phase7.1","Phase7.1.S23",6421,2025,1,"6421_2025_1","C0","None","38C",0,"12:05 pm",12.08,"M",2.94,2.94,"Ice House2","Stairwell","ST7.4",80.47,82.5,2,"B","ST",1.125431115,""
"Phase7.1.S24","S24",7,"Phase7.1","Phase7.1.S24",6421,2025,1,"6421_2025_1","TH","LPS_1","38C",3,"12:05 pm",12.08,"M",2.94,2.94,"Ice House2","Stairwell","ST7.4",80.47,82.5,2,"B","ST",1.125431115,""
"Phase7.1.S25","S25",7,"Phase7.1","Phase7.1.S25",6439,2025,1,"6439_2025_1","C0","None","38C",0,"11:45 am",11.75,"M",4.03,4.03,"Ice House2","Elevator","EL6.1",80.91,85,2.5,"B","ST",0.843758034,""
"Phase7.1.S26","S26",7,"Phase7.1","Phase7.1.S26",6439,2025,1,"6439_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"M",4.03,4.03,"Ice House2","Elevator","EL6.1",80.91,85,2.5,"B","ST",0.843758034,""
"Phase7.1.S27","S27",7,"Phase7.1","Phase7.1.S27",6435,2025,1,"6435_2025_1","C0","None","38C",0,"11:45 am",11.75,"M",7.23,7.23,"Ice House2","Elevator","EL6.1",79.78,97,3.5,"B","ST",0.872757484,""
"Phase7.1.S28","S28",7,"Phase7.1","Phase7.1.S28",6435,2025,1,"6435_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"M",7.23,7.23,"Ice House2","Elevator","EL6.1",79.78,97,3.5,"B","ST",0.872757484,""
"Phase7.1.S29","S29",7,"Phase7.1","Phase7.1.S29",4750,2025,1,"4750_2025_1","C0","None","38C",0,"11:45 am",11.75,"F",NA,2.74,"Tamana","Round chamber","R1",81.59,76,2,"","NP",0.38692153,""
"Phase7.1.S3","S3",7,"Phase7.1","Phase7.1.S3",6440,2025,1,"6440_2025_1","C0","None","38C",0,"11:45 am",11.75,"F",2.92,2.92,"Ice House2","Elevator","EL6.1",81.03,66,2,"","NEL",-0.175526514,""
"Phase7.1.S30","S30",7,"Phase7.1","Phase7.1.S30",4750,2025,1,"4750_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"F",NA,2.74,"Tamana","Round chamber","R1",81.59,76,2,"","NP",0.38692153,""
"Phase7.1.S31","S31",7,"Phase7.1","Phase7.1.S31",6029,2025,1,"6029_2025_1","C0","None","38C",0,"11:45 am",11.75,"F",4.36,4.36,"Tamana","Round chamber","R1",80.72,72,2.5,"","NP",0.940983344,""
"Phase7.1.S32","S32",7,"Phase7.1","Phase7.1.S32",6029,2025,1,"6029_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"F",4.36,4.36,"Tamana","Round chamber","R1",80.72,72,2.5,"","NP",0.940983344,""
"Phase7.1.S33","S33",7,"Phase7.1","Phase7.1.S33",4789,2025,1,"4789_2025_1","C0","None","38C",0,"11:35 am",11.58,"F",5.43,5.43,"Tamana","Round chamber","R9",82.68,74.5,2,"","NP",-0.316120008,""
"Phase7.1.S34","S34",7,"Phase7.1","Phase7.1.S34",4789,2025,1,"4789_2025_1","TH","LPS_1","38C",3,"11:35 am",11.58,"F",5.43,5.43,"Tamana","Round chamber","R9",82.68,74.5,2,"","NP",-0.316120008,""
"Phase7.1.S4","S4",7,"Phase7.1","Phase7.1.S4",6440,2025,1,"6440_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"F",2.92,2.92,"Ice House2","Elevator","EL6.1",81.03,66,2,"","NEL",-0.175526514,""
"Phase7.1.S5","S5",7,"Phase7.1","Phase7.1.S5",6250,2025,1,"6250_2025_1","C0","None","38C",0,"12:10 pm",12.17,"F",11.25,11.25,"Ice House2","Elevator","EL4.7",76.6,68,4,"","NP",0.822053801,""
"Phase7.1.S6","S6",7,"Phase7.1","Phase7.1.S6",6250,2025,1,"6250_2025_1","TH","LPS_1","38C",3,"12:10 pm",12.17,"F",11.25,11.25,"Ice House2","Elevator","EL4.7",76.6,68,4,"","NP",0.822053801,""
"Phase7.1.S7","S7",7,"Phase7.1","Phase7.1.S7",6447,2025,1,"6447_2025_1","C0","None","38C",0,"12:10 pm",12.17,"F",10.49,10.49,"Ice House2","Elevator","EL4.7",80.63,79.5,4,"","NP",1.609437912,""
"Phase7.1.S8","S8",7,"Phase7.1","Phase7.1.S8",6447,2025,1,"6447_2025_1","TH","LPS_1","38C",3,"12:10 pm",12.17,"F",10.49,10.49,"Ice House2","Elevator","EL4.7",80.63,79.5,4,"","NP",1.609437912,""
"Phase7.1.S9","S9",7,"Phase7.1","Phase7.1.S9",6383,2025,1,"6383_2025_1","C0","None","38C",0,"12:10 pm",12.17,"F",12.13,12.13,"Ice House2","Elevator","EL4.7",81.48,73,5,"","NP",0.334639056,""
"Phase7.2.S1","S1",7,"Phase7.2","Phase7.2.S1",2311,2025,1,"2311_2025_1","C0","None","38C",0,"11:35 am",11.58,"F",NA,7.74,"Tamana","Round chamber","R9",80.98,76.5,3,"","NP",0.390238661,""
"Phase7.2.S10","S10",7,"Phase7.2","Phase7.2.S10",3990,2025,1,"3990_2025_1","TH","LPS_1","38C",3,"11:35 am",11.58,"F",14.64,14.64,"Tamana","Round chamber","R9",80.67,72.5,4,"","NP",0.632328441,""
"Phase7.2.S11","S11",7,"Phase7.2","Phase7.2.S11",6198,2025,1,"6198_2025_1","C0","None","38C",0,"12:30 pm",12.5,"M",NA,1.73,"Tamana","Long chamber","L15",79.71,83,2.5,"B","AB",0.959041899,""
"Phase7.2.S12","S12",7,"Phase7.2","Phase7.2.S12",6198,2025,1,"6198_2025_1","TH","LPS_1","38C",3,"12:30 pm",12.5,"M",NA,1.73,"Tamana","Long chamber","L15",79.71,83,2.5,"B","AB",0.959041899,""
"Phase7.2.S13","S13",7,"Phase7.2","Phase7.2.S13",6355,2025,1,"6355_2025_1","C0","None","38C",0,"12:30 pm",12.5,"M",4.05,4.05,"Tamana","Long chamber","L15",83.57,87.5,2.5,"B","ST",2.102972039,""
"Phase7.2.S14","S14",7,"Phase7.2","Phase7.2.S14",6355,2025,1,"6355_2025_1","TH","LPS_1","38C",3,"12:30 pm",12.5,"M",4.05,4.05,"Tamana","Long chamber","L15",83.57,87.5,2.5,"B","ST",2.102972039,""
"Phase7.2.S15","S15",7,"Phase7.2","Phase7.2.S15",6395,2025,1,"6395_2025_1","C0","None","38C",0,"12:30 pm",12.5,"M",3.42,3.42,"Tamana","Long chamber","L15",79.63,87,1.5,"B","AB",1.968652003,""
"Phase7.2.S16","S16",7,"Phase7.2","Phase7.2.S16",6395,2025,1,"6395_2025_1","TH","LPS_1","38C",3,"12:30 pm",12.5,"M",3.42,3.42,"Tamana","Long chamber","L15",79.63,87,1.5,"B","AB",1.968652003,""
"Phase7.2.S17","S17",7,"Phase7.2","Phase7.2.S17",6323,2025,1,"6323_2025_1","C0","None","38C",0,"1:50 pm",13.83,"M",5.51,5.51,"Tamana","Round chamber","R11",85.13,87,2.5,"H","ST",0.479441709,""
"Phase7.2.S18","S18",7,"Phase7.2","Phase7.2.S18",6323,2025,1,"6323_2025_1","TH","LPS_1","38C",3,"1:50 pm",13.83,"M",5.51,5.51,"Tamana","Round chamber","R11",85.13,87,2.5,"H","ST",0.479441709,""
"Phase7.2.S19","S19",7,"Phase7.2","Phase7.2.S19",6396,2025,1,"6396_2025_1","C0","None","38C",0,"12:30 pm",12.5,"M",5,5,"Tamana","Long chamber","L15",80.51,80,2,"B","ST",0.631589288,""
"Phase7.2.S2","S2",7,"Phase7.2","Phase7.2.S2",2311,2025,1,"2311_2025_1","TH","LPS_1","38C",3,"11:35 am",11.58,"F",NA,7.74,"Tamana","Round chamber","R9",80.98,76.5,3,"","NP",0.390238661,""
"Phase7.2.S20","S20",7,"Phase7.2","Phase7.2.S20",6396,2025,1,"6396_2025_1","TH","LPS_1","38C",3,"12:30 pm",12.5,"M",5,5,"Tamana","Long chamber","L15",80.51,80,2,"B","ST",0.631589288,""
"Phase7.2.S21","S21",7,"Phase7.2","Phase7.2.S21",6037,2025,1,"6037_2025_1","C0","None","38C",0,"11:35 am",11.58,"M",9.36,9.36,"Tamana","Round chamber","R9",87.07,99.5,3.5,"H","ST",1.218928895,""
"Phase7.2.S22","S22",7,"Phase7.2","Phase7.2.S22",6037,2025,1,"6037_2025_1","TH","LPS_1","38C",3,"11:35 am",11.58,"M",9.36,9.36,"Tamana","Round chamber","R9",87.07,99.5,3.5,"H","ST",1.218928895,""
"Phase7.2.S23","S23",7,"Phase7.2","Phase7.2.S23",6446,2025,1,"6446_2025_1","C0","None","38C",0,"12:10 pm",12.17,"F",8.51,8.51,"Ice House2","Elevator","EL4.7",79.32,70,3,"","NP",1.338450719,""
"Phase7.2.S24","S24",7,"Phase7.2","Phase7.2.S24",6446,2025,1,"6446_2025_1","TH","LPS_1","38C",3,"12:10 pm",12.17,"F",8.51,8.51,"Ice House2","Elevator","EL4.7",79.32,70,3,"","NP",1.338450719,""
"Phase7.2.S25","S25",7,"Phase7.2","Phase7.2.S25",6259,2025,1,"6259_2025_1","C0","None","38C",0,"12:10 pm",12.17,"F",13.4,13.4,"Ice House2","Elevator","EL4.7",81.58,71.5,4,"","NP",0.614463588,""
"Phase7.2.S26","S26",7,"Phase7.2","Phase7.2.S26",6259,2025,1,"6259_2025_1","TH","LPS_1","38C",3,"12:10 pm",12.17,"F",13.4,13.4,"Ice House2","Elevator","EL4.7",81.58,71.5,4,"","NP",0.614463588,""
"Phase7.2.S27","S27",7,"Phase7.2","Phase7.2.S27",6272,2025,1,"6272_2025_1","C0","None","38C",0,"12:30 pm",12.5,"M",6.2,6.2,"Tamana","Long chamber","L15",85.58,95,3,"B","ST",1.851789737,""
"Phase7.2.S28","S28",7,"Phase7.2","Phase7.2.S28",6272,2025,1,"6272_2025_1","TH","LPS_1","38C",3,"12:30 pm",12.5,"M",6.2,6.2,"Tamana","Long chamber","L15",85.58,95,3,"B","ST",1.851789737,""
"Phase7.2.S29","S29",7,"Phase7.2","Phase7.2.S29",4982,2025,1,"4982_2025_1","C0","None","38C",0,"11:45 am",11.75,"M",6.42,6.42,"Tamana","Round chamber","R1",82.57,88,2.5,"H","ST",1.438938095,""
"Phase7.2.S3","S3",7,"Phase7.2","Phase7.2.S3",6033,2025,1,"6033_2025_1","C0","None","38C",0,"11:45 am",11.75,"F",7.83,7.83,"Tamana","Round chamber","R1",81.21,71.5,3.5,"","NP",0.713349888,""
"Phase7.2.S30","S30",7,"Phase7.2","Phase7.2.S30",4982,2025,1,"4982_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"M",6.42,6.42,"Tamana","Round chamber","R1",82.57,88,2.5,"H","ST",1.438938095,""
"Phase7.2.S31","S31",7,"Phase7.2","Phase7.2.S31",6033,2025,1,"6033_2025_1","C3","None","38C",0,"11:45 am",11.75,"F",7.83,7.83,"Tamana","Round chamber","R1",81.21,71.5,3.5,"","NP",0.713349888,""
"Phase7.2.S32","S32",7,"Phase7.2","Phase7.2.S32",4716,2025,1,"4716_2025_1","C3","None","38C",0,"11:35 am",11.58,"F",14.1,14.1,"Tamana","Round chamber","R9",83.7,73.5,5,"","NP",-0.216026084,""
"Phase7.2.S33","S33",7,"Phase7.2","Phase7.2.S33",6198,2025,1,"6198_2025_1","C3","None","38C",0,"12:30 pm",12.5,"M",NA,1.73,"Tamana","Long chamber","L15",79.71,83,2.5,"B","AB",0.959041899,""
"Phase7.2.S34","S34",7,"Phase7.2","Phase7.2.S34",6272,2025,1,"6272_2025_1","C3","None","38C",0,"12:30 pm",12.5,"M",6.2,6.2,"Tamana","Long chamber","L15",85.58,95,3,"B","ST",1.851789737,""
"Phase7.2.S4","S4",7,"Phase7.2","Phase7.2.S4",6033,2025,1,"6033_2025_1","TH","LPS_1","38C",3,"11:45 am",11.75,"F",7.83,7.83,"Tamana","Round chamber","R1",81.21,71.5,3.5,"","NP",0.713349888,""
"Phase7.2.S5","S5",7,"Phase7.2","Phase7.2.S5",4716,2025,1,"4716_2025_1","C0","None","38C",0,"11:35 am",11.58,"F",14.1,14.1,"Tamana","Round chamber","R9",83.7,73.5,5,"","NP",-0.216026084,""
"Phase7.2.S6","S6",7,"Phase7.2","Phase7.2.S6",4716,2025,1,"4716_2025_1","TH","LPS_1","38C",3,"11:35 am",11.58,"F",14.1,14.1,"Tamana","Round chamber","R9",83.7,73.5,5,"","NP",-0.216026084,""
"Phase7.2.S7","S7",7,"Phase7.2","Phase7.2.S7",6317,2025,1,"6317_2025_1","C0","None","38C",0,"1:50 pm",13.83,"F",14.32,14.32,"Tamana","Round chamber","R11",79.55,70,3.5,"","NP",0.01670185,""
"Phase7.2.S8","S8",7,"Phase7.2","Phase7.2.S8",6317,2025,1,"6317_2025_1","TH","LPS_1","38C",3,"1:50 pm",13.83,"F",14.32,14.32,"Tamana","Round chamber","R11",79.55,70,3.5,"","NP",0.01670185,""
"Phase7.2.S9","S9",7,"Phase7.2","Phase7.2.S9",3990,2025,1,"3990_2025_1","C0","None","38C",0,"11:35 am",11.58,"F",14.64,14.64,"Tamana","Round chamber","R9",80.67,72.5,4,"","NP",0.632328441,""
