miRNA	2311_C0	2311_TH	3990_C0	3990_TH	4750_C0	4750_TH	4789_C0	4789_TH	6029_C0	6029_TH	6037_C0	6037_TH	6250_C0	6250_TH	6272_C0	6272_TH	6323_C0	6323_TH	6334_C0	6334_TH	6342_C0	6342_TH	6383_C0	6383_TH	6417_C0	6417_TH	6421_C0	6421_TH	6422_C0	6422_TH	6435_C0	6435_TH	6439_C0	6439_TH	6440_C0	6440_TH	6446_C0	6446_TH	6447_C0	6447_TH
efu-miR-154	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
efu-miR-155	132.00	198.00	164.00	55.00	349.00	295.00	311.00	278.00	230.00	404.00	201.00	280.00	364.00	364.00	371.00	271.00	302.00	483.00	398.00	445.00	243.00	279.00	253.00	191.00	542.00	586.00	280.00	296.00	175.00	271.00	122.00	225.00	309.00	424.00	882.00	518.00	115.00	227.00	176.00	210.00
efu-miR-16	1721160.00	2029934.00	2964341.00	1452540.00	3626407.00	2821902.00	4542538.00	3562123.00	4368931.00	5704354.00	3453570.00	3502959.00	4996233.00	3638478.00	3599166.00	2668457.00	4105883.00	5707341.00	5903963.00	4069202.00	3343866.00	3064214.00	3114737.00	2870300.00	5545043.00	4517250.00	5435478.00	5285290.00	2553992.00	3146403.00	2437891.00	3012828.00	4963751.00	3793422.00	7871768.00	5427595.00	928339.00	3556286.00	2451798.00	3019992.00
efu-miR-16	1719914.00	2028724.00	2962509.00	1451730.00	3623103.00	2819695.00	4539616.00	3559803.00	4365464.00	5699915.00	3450678.00	3500622.00	4991295.00	3635270.00	3595712.00	2666391.00	4102749.00	5703729.00	5899370.00	4065858.00	3341163.00	3061542.00	3111850.00	2867762.00	5539308.00	4512368.00	5430432.00	5281231.00	2551833.00	3143777.00	2435825.00	3010494.00	4960002.00	3790797.00	7864573.00	5423253.00	927342.00	3552992.00	2449705.00	3017246.00
efu-miR-18	4971.00	3338.00	7477.00	3529.00	13701.00	4985.00	15209.00	7503.00	20875.00	12811.00	9154.00	5463.00	20395.00	11345.00	17349.00	4669.00	11047.00	9514.00	20201.00	9699.00	12181.00	4539.00	8232.00	9126.00	15831.00	11223.00	29933.00	13935.00	13063.00	7786.00	8027.00	4454.00	22214.00	10626.00	21749.00	15017.00	3539.00	11656.00	16803.00	12588.00
efu-miR-181c	161.00	171.00	160.00	107.00	284.00	146.00	288.00	163.00	487.00	260.00	301.00	248.00	259.00	205.00	284.00	99.00	450.00	435.00	388.00	209.00	238.00	111.00	182.00	250.00	263.00	264.00	414.00	382.00	219.00	100.00	205.00	181.00	441.00	206.00	622.00	465.00	127.00	283.00	326.00	201.00
efu-miR-181d	337.00	512.00	299.00	134.00	485.00	569.00	451.00	453.00	527.00	992.00	298.00	521.00	449.00	488.00	554.00	595.00	998.00	1491.00	870.00	544.00	320.00	438.00	347.00	285.00	466.00	321.00	666.00	829.00	254.00	388.00	459.00	645.00	687.00	907.00	1557.00	1070.00	129.00	835.00	333.00	368.00
efu-miR-181e	389.00	504.00	526.00	330.00	909.00	805.00	1189.00	1083.00	884.00	987.00	610.00	881.00	1129.00	1048.00	836.00	730.00	1241.00	1372.00	987.00	650.00	764.00	935.00	619.00	643.00	1085.00	876.00	1185.00	1234.00	593.00	705.00	560.00	742.00	1228.00	1041.00	2006.00	1345.00	231.00	964.00	535.00	527.00
efu-miR-182	0.00	0.00	1.00	1.00	5.00	2.00	0.00	0.00	2.00	6.00	1.00	1.00	1.00	0.00	1.00	0.00	2.00	1.00	0.00	1.00	4.00	1.00	1.00	0.00	12.00	6.00	0.00	0.00	5.00	0.00	0.00	0.00	1.00	0.00	5.00	5.00	0.00	0.00	1.00	1.00
efu-miR-1842	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-185	4722.00	3742.00	8099.00	3680.00	8478.00	4787.00	10761.00	8318.00	12507.00	10831.00	7579.00	7339.00	10711.00	6664.00	8648.00	3233.00	10649.00	9556.00	12283.00	9947.00	11238.00	5567.00	4608.00	2278.00	12248.00	10838.00	15487.00	13544.00	9510.00	9694.00	6513.00	7145.00	14933.00	5859.00	13027.00	10126.00	2186.00	9582.00	7310.00	6829.00
efu-miR-188	1.00	0.00	2.00	3.00	2.00	3.00	1.00	0.00	4.00	1.00	1.00	0.00	1.00	1.00	2.00	1.00	6.00	4.00	3.00	3.00	5.00	2.00	0.00	4.00	1.00	5.00	3.00	0.00	2.00	0.00	2.00	2.00	1.00	3.00	2.00	4.00	0.00	5.00	3.00	0.00
efu-miR-192	61.00	58.00	245.00	157.00	133.00	78.00	226.00	108.00	316.00	160.00	357.00	219.00	127.00	91.00	267.00	83.00	280.00	258.00	319.00	169.00	453.00	108.00	136.00	282.00	449.00	372.00	361.00	281.00	137.00	79.00	130.00	102.00	280.00	147.00	263.00	209.00	298.00	213.00	211.00	222.00
efu-miR-193b	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
efu-miR-194	1613.00	1449.00	2433.00	1568.00	3036.00	2034.00	5753.00	3993.00	4918.00	3667.00	3429.00	3311.00	5133.00	3576.00	6948.00	3159.00	4776.00	3371.00	5977.00	4589.00	7071.00	3925.00	2739.00	3378.00	6290.00	4647.00	15717.00	11622.00	4511.00	3964.00	3371.00	3637.00	10397.00	4323.00	9221.00	6443.00	1441.00	4983.00	3511.00	3145.00
efu-miR-194	1969.00	1737.00	3035.00	1944.00	3864.00	2512.00	7272.00	5009.00	6090.00	4685.00	4130.00	3805.00	6768.00	4477.00	8707.00	3997.00	5795.00	4077.00	7633.00	5778.00	9141.00	5178.00	3657.00	4314.00	8755.00	6262.00	19207.00	13542.00	6009.00	5301.00	4353.00	4608.00	13348.00	5443.00	11984.00	8150.00	1786.00	6365.00	4357.00	3953.00
efu-miR-196	1.00	0.00	0.00	0.00	1.00	3.00	6.00	1.00	2.00	2.00	2.00	1.00	4.00	1.00	0.00	0.00	1.00	1.00	4.00	4.00	4.00	1.00	3.00	0.00	0.00	5.00	2.00	0.00	2.00	3.00	0.00	1.00	2.00	2.00	2.00	3.00	0.00	1.00	3.00	4.00
efu-miR-20	8846.00	5932.00	10677.00	6214.00	26150.00	11140.00	25480.00	13580.00	30275.00	24308.00	16040.00	11656.00	44572.00	21778.00	33819.00	12545.00	20565.00	13495.00	22572.00	17654.00	19231.00	10445.00	23529.00	21697.00	43558.00	34443.00	48089.00	27272.00	20751.00	18033.00	14698.00	11040.00	31705.00	15114.00	53467.00	32161.00	7066.00	22319.00	25329.00	20379.00
efu-miR-205	0.00	2.00	8.00	2.00	4.00	0.00	3.00	5.00	10.00	11.00	1.00	1.00	2.00	0.00	1.00	1.00	0.00	7.00	3.00	7.00	3.00	1.00	6.00	2.00	4.00	1.00	3.00	7.00	0.00	0.00	1.00	2.00	2.00	6.00	3.00	3.00	0.00	1.00	6.00	2.00
efu-miR-210	1.00	6.00	4.00	2.00	5.00	1.00	0.00	0.00	1.00	6.00	7.00	13.00	1.00	0.00	0.00	0.00	1.00	8.00	0.00	1.00	9.00	2.00	6.00	2.00	9.00	3.00	0.00	0.00	3.00	1.00	4.00	1.00	7.00	1.00	8.00	5.00	0.00	5.00	0.00	1.00
efu-miR-211	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
efu-miR-215	1.00	0.00	6.00	5.00	4.00	0.00	7.00	1.00	13.00	9.00	6.00	6.00	2.00	0.00	7.00	1.00	5.00	8.00	9.00	3.00	7.00	0.00	1.00	7.00	10.00	18.00	14.00	3.00	7.00	3.00	4.00	5.00	3.00	1.00	12.00	8.00	0.00	2.00	5.00	1.00
efu-miR-218a	0.00	3.00	1.00	1.00	0.00	0.00	0.00	3.00	1.00	4.00	2.00	1.00	1.00	2.00	0.00	0.00	0.00	2.00	1.00	3.00	3.00	1.00	0.00	0.00	0.00	2.00	1.00	0.00	1.00	2.00	0.00	0.00	1.00	0.00	4.00	0.00	0.00	0.00	2.00	0.00
efu-miR-218b	0.00	3.00	1.00	1.00	0.00	0.00	0.00	3.00	1.00	4.00	2.00	1.00	1.00	2.00	0.00	0.00	0.00	2.00	1.00	3.00	3.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	2.00	0.00	0.00	1.00	0.00	4.00	0.00	0.00	0.00	2.00	0.00
