miRNA	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count
efu-miR-497	51	47	89	43	116	76	127	106	179	164	156	126	150	112	128	57	202	199	104	65	220	90	63	136	196	143	289	229	180	140	96	98	281	180	313	264	35	152	87	68
efu-miR-499	1	0	0	0	1	1	0	1	0	1	0	0	5	1	1	0	0	0	4	3	0	1	1	2	2	0	1	0	0	0	0	0	1	1	2	0	0	1	2	0
efu-miR-504	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-507a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-532	146	149	426	163	564	283	560	390	610	506	414	343	845	672	515	263	560	558	719	474	389	328	550	422	749	730	724	573	458	412	265	331	636	437	1330	800	146	345	401	453
efu-miR-628	2	11	9	9	23	5	23	9	39	20	41	9	35	16	12	9	22	34	33	10	16	4	14	32	18	11	24	27	9	14	3	8	37	20	36	31	7	14	20	28
efu-miR-660	62	42	76	58	137	75	256	161	336	137	138	83	283	182	138	60	130	88	247	112	128	54	98	138	204	116	279	170	205	107	84	78	294	127	325	229	34	101	216	129
efu-miR-7a	229	183	172	79	368	263	343	264	615	824	305	273	375	185	353	143	323	337	622	643	425	200	152	87	384	360	551	363	335	400	173	132	739	303	816	782	168	369	212	223
efu-miR-7b	229	184	169	79	367	265	344	265	615	820	305	273	375	185	353	143	323	337	622	644	425	200	150	88	384	362	550	362	335	403	173	132	739	303	815	783	170	371	212	222
