,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA
mlu-miR-93-3p,44.4874125134551,-0.206069571194932,0.166556567295757,-1.23723473976869,0.215999947815031,0.456945228212541,FALSE,mlu-miR-93-3p
hsa-miR-202-5p,15.4843364162016,-0.396426275651193,0.320516716287157,-1.23683494653061,0.216148365212571,0.456945228212541,FALSE,hsa-miR-202-5p
mlu-miR-202-5p,15.4843364162016,-0.396426275651193,0.320516716287157,-1.23683494653061,0.216148365212571,0.456945228212541,FALSE,mlu-miR-202-5p
mlu-miR-181A-1-3p,19.1387303212151,-0.215875280378182,0.176759321423838,-1.22129502783364,0.221974335314138,0.467212356425391,FALSE,mlu-miR-181A-1-3p
mlu-miR-200A-3p,0.552041454451136,-1.07886535895766,0.883914272303933,-1.22055429215503,0.222254821366216,NA,FALSE,mlu-miR-200A-3p
mmy-can-55,4.04398509588901,0.447015800790601,0.367201647865819,1.21735782883509,0.223468100717845,0.468311411069571,FALSE,mmy-can-55
mmy-can-384,133.219469840607,-0.253524241863209,0.209295548325892,-1.21132171176641,0.225772130720669,0.471091632066503,FALSE,mmy-can-384
mmu-miR-331-5p,108.709861207898,0.173217976167848,0.144107188321592,1.20200788166994,0.229360474425649,0.476516158073977,FALSE,mmu-miR-331-5p
rno-miR-3084b-5p,1.03253985739663,-0.976536523863943,0.815708647657346,-1.19716338262256,0.231242879165529,NA,FALSE,rno-miR-3084b-5p
hsa-miR-574-5p,8.27534022105213,0.379618740357641,0.318249334464018,1.1928343573663,0.232934251504957,0.479804740279441,FALSE,hsa-miR-574-5p
mlu-miR-574-5p,8.27534022105213,0.379618740357641,0.318249334464018,1.1928343573663,0.232934251504957,0.479804740279441,FALSE,mlu-miR-574-5p
hsa-miR-9985,3.90451843665192,-0.415005445759194,0.349436846340999,-1.18764077144346,0.234974967600795,0.481948656951419,FALSE,hsa-miR-9985
mmy-can-453,0.656798251871322,-1.07811162997234,0.909452123739165,-1.18545177017097,0.235838873095111,NA,FALSE,mmy-can-453
mmy-can-372,20.5506254509703,-0.263564869330631,0.224060953067761,-1.17630879330823,0.239471503190199,0.488764505524413,FALSE,mmy-can-372
mmy-can-288,2.74802703781889,0.494652449573347,0.421277653790382,1.17417205760331,0.2403261157869,0.488764505524413,FALSE,mmy-can-288
hsa-miR-218-5p,1.96173719208899,0.757004543645518,0.647058741073687,1.16991626199098,0.24203466893574,NA,FALSE,hsa-miR-218-5p
mmy-can-387,7959.17394931636,-0.139841401946944,0.120570014541803,-1.15983565630624,0.246115723828529,0.495831014108288,FALSE,mmy-can-387
mmu-miR-185-5p,7968.06066788673,-0.139413205342884,0.12035160871374,-1.1583825661565,0.246707950479049,0.495831014108288,FALSE,mmu-miR-185-5p
pha-miR-125,16.7521905399014,0.247465420687086,0.214061558182068,1.15604792746863,0.24766155361157,0.495831014108288,FALSE,pha-miR-125
pha-miR-167,2.00973644750748,0.579499104775977,0.502020697649055,1.15433309321658,0.248363633949969,0.495831014108288,FALSE,pha-miR-167
mmy-can-438,5.80117822314106,0.344332195105142,0.298661579348991,1.15291761282352,0.248944202104161,0.495831014108288,FALSE,mmy-can-438
hsa-miR-223-5p,214.13347741723,0.148343467937727,0.129679169581309,1.14392672637154,0.25265402607915,0.501149138148767,FALSE,hsa-miR-223-5p
mmu-miR-223-5p,214.330996153216,0.147404033331534,0.129667084389433,1.1367883686567,0.255626766877702,0.503675378712203,FALSE,mmu-miR-223-5p
mlu-miR-652-3p,520.310996103964,0.107939043557498,0.0950289559921817,1.13585425021799,0.256017568017614,0.503675378712203,FALSE,mlu-miR-652-3p
hsa-miR-215-5p,4.42939671419469,-0.410637931846455,0.36788160938479,-1.11622304940213,0.264326670582558,0.516239146562619,FALSE,hsa-miR-215-5p
hsa-miR-4286,13.1144143481468,-0.2611424816055,0.234059215403575,-1.11571117229983,0.264545786723998,0.516239146562619,FALSE,hsa-miR-4286
hsa-miR-28-5p,1076.4505785792,-0.0868102950719887,0.0784375218611751,-1.10674448927176,0.268404414457078,0.521656966807708,FALSE,hsa-miR-28-5p
mlu-miR-28A-5p,1076.72240788812,-0.0866831882888292,0.078511643906226,-1.10408066849757,0.269558146221995,0.521795287064264,FALSE,mlu-miR-28A-5p
mmy-can-437,192.263976367601,-0.202764044518577,0.185917551200241,-1.09061271090104,0.27544333409652,0.529999796870487,FALSE,mmy-can-437
hsa-miR-20b-5p,192.340051197504,-0.202513340599866,0.185901433702144,-1.08935868092517,0.275995744843345,0.529999796870487,FALSE,hsa-miR-20b-5p
rno-miR-324-5p,4063.63319300445,0.11171930522896,0.103948113698253,1.07476029390265,0.282482061588914,0.537241081461629,FALSE,rno-miR-324-5p
