gene	description
MRI1	methylthioribose-1-phosphate isomerase 1;transcript_id=XM_045853365.1
YJU2B	YJU2 splicing factor homolog B;transcript_id=XM_045853246.1
CACNA1A	calcium voltage-gated channel subunit alpha1 A;transcript_id=XM_045852887.1
LOC123828629	U6 spliceosomal RNA;transcript_id=XR_006787475.1
IER2	immediate early response 2;transcript_id=XM_045853132.1
STX10	syntaxin 10%2C transcript variant X1;transcript_id=XM_045853207.1
STX10	syntaxin 10%2C transcript variant X2;transcript_id=XM_045853208.1
NACC1	nucleus accumbens associated 1%2C transcript variant X1;transcript_id=XM_045852939.1
NACC1	nucleus accumbens associated 1%2C transcript variant X2;transcript_id=XM_045852940.1
TRMT1	tRNA methyltransferase 1%2C transcript variant X4;transcript_id=XM_045852936.1
TRMT1	tRNA methyltransferase 1%2C transcript variant X2;transcript_id=XM_045852934.1
TRMT1	tRNA methyltransferase 1%2C transcript variant X5;transcript_id=XM_045852937.1
TRMT1	tRNA methyltransferase 1%2C transcript variant X1;transcript_id=XM_045852933.1
TRMT1	tRNA methyltransferase 1%2C transcript variant X6;transcript_id=XM_045852938.1
TRMT1	tRNA methyltransferase 1%2C transcript variant X3;transcript_id=XM_045852935.1
LYL1	LYL1 basic helix-loop-helix family member%2C transcript variant X1;transcript_id=XM_045852852.1
LYL1	LYL1 basic helix-loop-helix family member%2C transcript variant X2;transcript_id=XM_045852853.1
NFIX	nuclear factor I X%2C transcript variant X2;transcript_id=XM_045852855.1
NFIX	nuclear factor I X%2C transcript variant X1;transcript_id=XM_045852854.1
NFIX	nuclear factor I X%2C transcript variant X3;transcript_id=XM_045852856.1
NFIX	nuclear factor I X%2C transcript variant X4;transcript_id=XM_045852857.1
NFIX	nuclear factor I X%2C transcript variant X5;transcript_id=XM_045852858.1
DAND5	DAN domain BMP antagonist family member 5;transcript_id=XM_045853595.1
GADD45GIP1	GADD45G interacting protein 1;transcript_id=XM_045853349.1
RAD23A	RAD23 homolog A%2C nucleotide excision repair protein;transcript_id=XM_045853348.1
CALR	calreticulin%2C transcript variant X2;transcript_id=XM_045852862.1
CALR	calreticulin%2C transcript variant X1;transcript_id=XM_045852861.1
FARSA	phenylalanyl-tRNA synthetase subunit alpha;transcript_id=XM_045852860.1
SYCE2	synaptonemal complex central element protein 2%2C transcript variant X1;transcript_id=XM_045853416.1
SYCE2	synaptonemal complex central element protein 2%2C transcript variant X2;transcript_id=XM_045853417.1
GCDH	glutaryl-CoA dehydrogenase;transcript_id=XM_045853415.1
KLF1	Kruppel like factor 1%2C transcript variant X2;transcript_id=XR_006787462.1
KLF1	Kruppel like factor 1%2C transcript variant X1;transcript_id=XM_045853289.1
DNASE2	deoxyribonuclease 2%2C lysosomal;transcript_id=XM_045853677.1
MAST1	microtubule associated serine/threonine kinase 1%2C transcript variant X7;transcript_id=XM_045853676.1
MAST1	microtubule associated serine/threonine kinase 1%2C transcript variant X3;transcript_id=XM_045853671.1
MAST1	microtubule associated serine/threonine kinase 1%2C transcript variant X5;transcript_id=XM_045853673.1
MAST1	microtubule associated serine/threonine kinase 1%2C transcript variant X2;transcript_id=XM_045853670.1
MAST1	microtubule associated serine/threonine kinase 1%2C transcript variant X4;transcript_id=XM_045853672.1
MAST1	microtubule associated serine/threonine kinase 1%2C transcript variant X6;transcript_id=XM_045853675.1
MAST1	microtubule associated serine/threonine kinase 1%2C transcript variant X1;transcript_id=XM_045853669.1
LOC123828613	uncharacterized LOC123828613;transcript_id=XR_006787474.1
RTBDN	retbindin%2C transcript variant X2;transcript_id=XM_045853679.1
RTBDN	retbindin%2C transcript variant X1;transcript_id=XM_045853678.1
RTBDN	retbindin%2C transcript variant X4;transcript_id=XM_045853681.1
RTBDN	retbindin%2C transcript variant X3;transcript_id=XM_045853680.1
RNASEH2A	ribonuclease H2 subunit A%2C transcript variant X2;transcript_id=XM_045853339.1
RNASEH2A	ribonuclease H2 subunit A%2C transcript variant X1;transcript_id=XM_045853338.1
THSD8	thrombospondin type 1 domain containing 8%2C transcript variant X2;transcript_id=XM_045853344.1
THSD8	thrombospondin type 1 domain containing 8%2C transcript variant X3;transcript_id=XM_045853345.1
THSD8	thrombospondin type 1 domain containing 8%2C transcript variant X1;transcript_id=XM_045853342.1
THSD8	thrombospondin type 1 domain containing 8%2C transcript variant X4;transcript_id=XM_045853346.1
PRDX2	peroxiredoxin 2%2C transcript variant X1;transcript_id=XM_045853340.1
PRDX2	peroxiredoxin 2%2C transcript variant X2;transcript_id=XM_045853341.1
JUNB	JunB proto-oncogene%2C AP-1 transcription factor subunit;transcript_id=XM_045853135.1
HOOK2	hook microtubule tethering protein 2%2C transcript variant X2;transcript_id=XM_045853444.1
HOOK2	hook microtubule tethering protein 2%2C transcript variant X1;transcript_id=XM_045853443.1
HOOK2	hook microtubule tethering protein 2%2C transcript variant X3;transcript_id=XM_045853445.1
HOOK2	hook microtubule tethering protein 2%2C transcript variant X4;transcript_id=XM_045853447.1
BEST2	bestrophin 2;transcript_id=XM_045853312.1
GET3	guided entry of tail-anchored proteins factor 3%2C ATPase%2C transcript variant X2;transcript_id=XM_045853578.1
GET3	guided entry of tail-anchored proteins factor 3%2C ATPase%2C transcript variant X1;transcript_id=XM_045853577.1
GET3	guided entry of tail-anchored proteins factor 3%2C ATPase%2C transcript variant X3;transcript_id=XM_045853579.1
TRIR	telomerase RNA component interacting RNase%2C transcript variant X2;transcript_id=XM_045853699.1
TRIR	telomerase RNA component interacting RNase%2C transcript variant X1;transcript_id=XM_045853698.1
TNPO2	transportin 2%2C transcript variant X1;transcript_id=XM_045852922.1
TNPO2	transportin 2%2C transcript variant X7;transcript_id=XM_045852929.1
TNPO2	transportin 2%2C transcript variant X2;transcript_id=XM_045852924.1
TNPO2	transportin 2%2C transcript variant X5;transcript_id=XM_045852927.1
TNPO2	transportin 2%2C transcript variant X6;transcript_id=XM_045852928.1
TNPO2	transportin 2%2C transcript variant X4;transcript_id=XM_045852926.1
TNPO2	transportin 2%2C transcript variant X3;transcript_id=XM_045852925.1
TNPO2	transportin 2%2C transcript variant X8;transcript_id=XM_045852930.1
LOC123828643	small nucleolar RNA SNORD41;transcript_id=XR_006787488.1
LOC123828210	uncharacterized LOC123828210;transcript_id=XR_006787449.1
FBXW9	F-box and WD repeat domain containing 9;transcript_id=XM_045852931.1
GNG14	G protein subunit gamma 14;transcript_id=XM_045853412.1
DHPS	deoxyhypusine synthase%2C transcript variant X1;transcript_id=XM_045853329.1
DHPS	deoxyhypusine synthase%2C transcript variant X2;transcript_id=XM_045853330.1
WDR83	WD repeat domain 83;transcript_id=XM_045853331.1
WDR83OS	WD repeat domain 83 opposite strand;transcript_id=XM_045853332.1
MAN2B1	mannosidase alpha class 2B member 1%2C transcript variant X1;transcript_id=XM_045853475.1
MAN2B1	mannosidase alpha class 2B member 1%2C transcript variant X2;transcript_id=XM_045853476.1
LOC123828465	zinc finger protein 791-like%2C transcript variant X2;transcript_id=XM_045853474.1
LOC123828465	zinc finger protein 791-like%2C transcript variant X1;transcript_id=XM_045853473.1
LOC123828308	zinc finger protein 709-like%2C transcript variant X2;transcript_id=XM_045853153.1
LOC123828308	zinc finger protein 709-like%2C transcript variant X1;transcript_id=XM_045853152.1
LOC123828636	U1 spliceosomal RNA;transcript_id=XR_006787482.1
LOC123828549	olfactory receptor 7A17-like;transcript_id=XM_045853596.1
LOC123828550	olfactory receptor 7D4-like;transcript_id=XM_045853597.1
LOC123828551	olfactory receptor 7A17-like;transcript_id=XM_045853598.1
LOC123828287	olfactory receptor 7C1-like;transcript_id=XM_045853120.1
LOC123828284	olfactory receptor 7A17-like;transcript_id=XM_045853117.1
LOC123828285	olfactory receptor 7A17-like;transcript_id=XM_045853118.1
LOC123828630	U6 spliceosomal RNA;transcript_id=XR_006787476.1
LOC123828553	olfactory receptor 7A10-like;transcript_id=XM_045853599.1
LOC123828554	olfactory receptor 7A10-like;transcript_id=XM_045853601.1
LOC123828555	olfactory receptor 7A10-like;transcript_id=XM_045853602.1
LOC123828557	olfactory receptor 7D4-like;transcript_id=XM_045853603.1
LOC123828558	olfactory receptor 7A17-like;transcript_id=XM_045853604.1
LOC123828559	olfactory receptor 7A10-like;transcript_id=XM_045853605.1
LOC123828560	olfactory receptor 7D4-like;transcript_id=XM_045853606.1
LOC123828561	olfactory receptor 7A10-like;transcript_id=XM_045853607.1
LOC123828307	olfactory receptor 7A10-like;transcript_id=XM_045853151.1
LOC123828562	olfactory receptor 7A10-like;transcript_id=XM_045853608.1
SLC1A6	solute carrier family 1 member 6%2C transcript variant X1;transcript_id=XM_045853205.1
SLC1A6	solute carrier family 1 member 6%2C transcript variant X2;transcript_id=XM_045853206.1
CCDC105	coiled-coil domain containing 105;transcript_id=XM_045853618.1
CASP14	caspase 14;transcript_id=XM_045853333.1
LOC123828567	olfactory receptor 1I1;transcript_id=XM_045853619.1
SYDE1	synapse defective Rho GTPase homolog 1%2C transcript variant X1;transcript_id=XM_045853101.1
SYDE1	synapse defective Rho GTPase homolog 1%2C transcript variant X2;transcript_id=XM_045853103.1
ILVBL	ilvB acetolactate synthase like%2C transcript variant X2;transcript_id=XM_045853105.1
ILVBL	ilvB acetolactate synthase like%2C transcript variant X1;transcript_id=XM_045853104.1
LOC123828568	olfactory receptor 10T2-like;transcript_id=XM_045853620.1
NOTCH3	notch receptor 3%2C transcript variant X2;transcript_id=XM_045853030.1
NOTCH3	notch receptor 3%2C transcript variant X1;transcript_id=XM_045853029.1
EPHX3	epoxide hydrolase 3;transcript_id=XM_045853270.1
BRD4	bromodomain containing 4%2C transcript variant X1;transcript_id=XM_045853242.1
BRD4	bromodomain containing 4%2C transcript variant X2;transcript_id=XM_045853243.1
BRD4	bromodomain containing 4%2C transcript variant X3;transcript_id=XM_045853244.1
BRD4	bromodomain containing 4%2C transcript variant X4;transcript_id=XM_045853245.1
AKAP8	A-kinase anchoring protein 8%2C transcript variant X2;transcript_id=XM_045853308.1
AKAP8	A-kinase anchoring protein 8%2C transcript variant X1;transcript_id=XM_045853307.1
AKAP8L	A-kinase anchoring protein 8 like%2C transcript variant X5;transcript_id=XM_045853360.1
AKAP8L	A-kinase anchoring protein 8 like%2C transcript variant X2;transcript_id=XM_045853357.1
AKAP8L	A-kinase anchoring protein 8 like%2C transcript variant X3;transcript_id=XM_045853358.1
AKAP8L	A-kinase anchoring protein 8 like%2C transcript variant X4;transcript_id=XM_045853359.1
AKAP8L	A-kinase anchoring protein 8 like%2C transcript variant X1;transcript_id=XM_045853356.1
WIZ	WIZ zinc finger%2C transcript variant X6;transcript_id=XM_045852986.1
WIZ	WIZ zinc finger%2C transcript variant X4;transcript_id=XM_045852984.1
WIZ	WIZ zinc finger%2C transcript variant X1;transcript_id=XM_045852980.1
WIZ	WIZ zinc finger%2C transcript variant X9;transcript_id=XM_045852989.1
WIZ	WIZ zinc finger%2C transcript variant X3;transcript_id=XM_045852982.1
WIZ	WIZ zinc finger%2C transcript variant X2;transcript_id=XM_045852981.1
WIZ	WIZ zinc finger%2C transcript variant X5;transcript_id=XM_045852985.1
WIZ	WIZ zinc finger%2C transcript variant X7;transcript_id=XM_045852987.1
WIZ	WIZ zinc finger%2C transcript variant X8;transcript_id=XM_045852988.1
RASAL3	RAS protein activator like 3%2C transcript variant X2;transcript_id=XM_045853463.1
RASAL3	RAS protein activator like 3%2C transcript variant X1;transcript_id=XM_045853462.1
PGLYRP2	peptidoglycan recognition protein 2;transcript_id=XM_045853271.1
LOC123828480	ultra-long-chain fatty acid omega-hydroxylase%2C transcript variant X2;transcript_id=XM_045853498.1
LOC123828480	ultra-long-chain fatty acid omega-hydroxylase%2C transcript variant X1;transcript_id=XM_045853496.1
LOC123828434	cytochrome P450 4F3-like;transcript_id=XM_045853394.1
LOC123828435	cytochrome P450 4F11-like%2C transcript variant X4;transcript_id=XM_045853399.1
LOC123828435	cytochrome P450 4F11-like%2C transcript variant X1;transcript_id=XM_045853395.1
LOC123828435	cytochrome P450 4F11-like%2C transcript variant X2;transcript_id=XM_045853397.1
LOC123828435	cytochrome P450 4F11-like%2C transcript variant X3;transcript_id=XM_045853398.1
LOC123828435	cytochrome P450 4F11-like%2C transcript variant X5;transcript_id=XM_045853400.1
LOC123828571	olfactory receptor 1361-like;transcript_id=XM_045853622.1
LOC123828447	olfactory receptor 10H1;transcript_id=XM_045853424.1
LOC123828469	olfactory receptor 10H2-like;transcript_id=XM_045853480.1
LOC123828574	olfactory receptor 2Z1-like;transcript_id=XM_045853626.1
TPM4	tropomyosin 4%2C transcript variant X1;transcript_id=XM_045853273.1
TPM4	tropomyosin 4%2C transcript variant X2;transcript_id=XM_045853274.1
RAB8A	RAB8A%2C member RAS oncogene family;transcript_id=XM_045853380.1
HSH2D	hematopoietic SH2 domain containing%2C transcript variant X3;transcript_id=XM_045853311.1
HSH2D	hematopoietic SH2 domain containing%2C transcript variant X1;transcript_id=XM_045853309.1
HSH2D	hematopoietic SH2 domain containing%2C transcript variant X2;transcript_id=XM_045853310.1
CIB3	calcium and integrin binding family member 3%2C transcript variant X2;transcript_id=XM_045853479.1
CIB3	calcium and integrin binding family member 3%2C transcript variant X1;transcript_id=XM_045853478.1
FAM32A	family with sequence similarity 32 member A%2C transcript variant X1;transcript_id=XM_045853623.1
FAM32A	family with sequence similarity 32 member A%2C transcript variant X2;transcript_id=XM_045853624.1
FAM32A	family with sequence similarity 32 member A%2C transcript variant X3;transcript_id=XM_045853625.1
AP1M1	adaptor related protein complex 1 subunit mu 1;transcript_id=XM_045853413.1
KLF2	Kruppel like factor 2;transcript_id=XM_045853144.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X2;transcript_id=XM_045853005.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X10;transcript_id=XM_045853013.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X4;transcript_id=XM_045853007.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X8;transcript_id=XM_045853011.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X3;transcript_id=XM_045853006.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X1;transcript_id=XM_045853003.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X6;transcript_id=XM_045853009.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X5;transcript_id=XM_045853008.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X9;transcript_id=XM_045853012.1
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1%2C transcript variant X7;transcript_id=XM_045853010.1
LOC123828638	small nucleolar RNA SNORA62/SNORA6 family;transcript_id=XR_006787484.1
CALR3	calreticulin 3;transcript_id=XM_045853335.1
CUNH19orf44	chromosome unknown C19orf44 homolog%2C transcript variant X2;transcript_id=XM_045853043.1
CUNH19orf44	chromosome unknown C19orf44 homolog%2C transcript variant X1;transcript_id=XM_045853042.1
CUNH19orf44	chromosome unknown C19orf44 homolog%2C transcript variant X5;transcript_id=XM_045853046.1
CUNH19orf44	chromosome unknown C19orf44 homolog%2C transcript variant X4;transcript_id=XM_045853045.1
CUNH19orf44	chromosome unknown C19orf44 homolog%2C transcript variant X3;transcript_id=XM_045853044.1
LOC123828249	calcium homeostasis endoplasmic reticulum protein%2C transcript variant X2;transcript_id=XM_045853040.1
LOC123828249	calcium homeostasis endoplasmic reticulum protein%2C transcript variant X3;transcript_id=XM_045853041.1
LOC123828249	calcium homeostasis endoplasmic reticulum protein%2C transcript variant X1;transcript_id=XM_045853039.1
LOC123828253	uncharacterized LOC123828253;transcript_id=XR_006787453.1
SLC35E1	solute carrier family 35 member E1;transcript_id=XM_045853047.1
MED26	mediator complex subunit 26%2C transcript variant X1;transcript_id=XM_045853559.1
MED26	mediator complex subunit 26%2C transcript variant X3;transcript_id=XM_045853561.1
MED26	mediator complex subunit 26%2C transcript variant X2;transcript_id=XM_045853560.1
SMIM7	small integral membrane protein 7%2C transcript variant X2;transcript_id=XR_006787451.1
SMIM7	small integral membrane protein 7%2C transcript variant X1;transcript_id=XM_045853025.1
TMEM38A	transmembrane protein 38A;transcript_id=XM_045853024.1
NWD1	NACHT and WD repeat domain containing 1%2C transcript variant X2;transcript_id=XM_045853257.1
NWD1	NACHT and WD repeat domain containing 1%2C transcript variant X1;transcript_id=XM_045853256.1
SIN3B	SIN3 transcription regulator family member B%2C transcript variant X1;transcript_id=XM_045853136.1
SIN3B	SIN3 transcription regulator family member B%2C transcript variant X2;transcript_id=XM_045853137.1
F2RL3	F2R like thrombin or trypsin receptor 3;transcript_id=XM_045853502.1
HAUS8	HAUS augmin like complex subunit 8;transcript_id=XM_045853161.1
MYO9B	myosin IXB%2C transcript variant X1;transcript_id=XM_045853657.1
MYO9B	myosin IXB%2C transcript variant X3;transcript_id=XM_045853660.1
MYO9B	myosin IXB%2C transcript variant X6;transcript_id=XM_045853663.1
MYO9B	myosin IXB%2C transcript variant X4;transcript_id=XM_045853661.1
MYO9B	myosin IXB%2C transcript variant X7;transcript_id=XM_045853664.1
MYO9B	myosin IXB%2C transcript variant X2;transcript_id=XM_045853658.1
MYO9B	myosin IXB%2C transcript variant X5;transcript_id=XM_045853662.1
MYO9B	myosin IXB%2C transcript variant X8;transcript_id=XM_045853665.1
MYO9B	myosin IXB%2C transcript variant X9;transcript_id=XM_045853666.1
MYO9B	myosin IXB%2C transcript variant X10;transcript_id=XM_045853667.1
USE1	unconventional SNARE in the ER 1;transcript_id=XM_045853668.1
OCEL1	occludin/ELL domain containing 1;transcript_id=XM_045853627.1
NR2F6	nuclear receptor subfamily 2 group F member 6;transcript_id=XM_045853002.1
USHBP1	USH1 protein network component harmonin binding protein 1;transcript_id=XM_045853239.1
BABAM1	BRISC and BRCA1 A complex member 1%2C transcript variant X2;transcript_id=XM_045853653.1
BABAM1	BRISC and BRCA1 A complex member 1%2C transcript variant X4;transcript_id=XM_045853655.1
BABAM1	BRISC and BRCA1 A complex member 1%2C transcript variant X1;transcript_id=XM_045853652.1
BABAM1	BRISC and BRCA1 A complex member 1%2C transcript variant X3;transcript_id=XM_045853654.1
BABAM1	BRISC and BRCA1 A complex member 1%2C transcript variant X5;transcript_id=XM_045853656.1
ANKLE1	ankyrin repeat and LEM domain containing 1;transcript_id=XM_045853181.1
ABHD8	abhydrolase domain containing 8;transcript_id=XM_045853128.1
MRPL34	mitochondrial ribosomal protein L34;transcript_id=XM_045853240.1
DDA1	DET1 and DDB1 associated 1;transcript_id=XM_045853493.1
ANO8	anoctamin 8%2C transcript variant X4;transcript_id=XM_045853490.1
ANO8	anoctamin 8%2C transcript variant X3;transcript_id=XM_045853489.1
ANO8	anoctamin 8%2C transcript variant X2;transcript_id=XM_045853488.1
ANO8	anoctamin 8%2C transcript variant X1;transcript_id=XM_045853487.1
GTPBP3	GTP binding protein 3%2C mitochondrial%2C transcript variant X1;transcript_id=XM_045853491.1
GTPBP3	GTP binding protein 3%2C mitochondrial%2C transcript variant X2;transcript_id=XM_045853492.1
LOC123828505	uncharacterized LOC123828505;transcript_id=XR_006787470.1
LOC123828504	plasmalemma vesicle associated protein;transcript_id=XM_045853551.1
CCDC194	coiled-coil domain containing 194;transcript_id=XM_045853628.1
BST2	bone marrow stromal cell antigen 2%2C transcript variant X1;transcript_id=XM_045853253.1
BST2	bone marrow stromal cell antigen 2%2C transcript variant X2;transcript_id=XM_045853254.1
MVB12A	multivesicular body subunit 12A;transcript_id=XM_045853550.1
TMEM221	transmembrane protein 221%2C transcript variant X2;transcript_id=XM_045853259.1
TMEM221	transmembrane protein 221%2C transcript variant X1;transcript_id=XM_045853258.1
NXNL1	nucleoredoxin like 1;transcript_id=XM_045853629.1
SLC27A1	solute carrier family 27 member 1%2C transcript variant X3;transcript_id=XM_045853231.1
SLC27A1	solute carrier family 27 member 1%2C transcript variant X4;transcript_id=XM_045853232.1
SLC27A1	solute carrier family 27 member 1%2C transcript variant X1;transcript_id=XM_045853228.1
SLC27A1	solute carrier family 27 member 1%2C transcript variant X2;transcript_id=XM_045853230.1
PGLS	6-phosphogluconolactonase;transcript_id=XM_045853644.1
NIBAN3	niban apoptosis regulator 3%2C transcript variant X1;transcript_id=XM_045853372.1
NIBAN3	niban apoptosis regulator 3%2C transcript variant X3;transcript_id=XM_045853374.1
NIBAN3	niban apoptosis regulator 3%2C transcript variant X4;transcript_id=XM_045853375.1
NIBAN3	niban apoptosis regulator 3%2C transcript variant X2;transcript_id=XM_045853373.1
COLGALT1	collagen beta(1-O)galactosyltransferase 1;transcript_id=XM_045853268.1
UNC13A	unc-13 homolog A%2C transcript variant X4;transcript_id=XM_045853093.1
UNC13A	unc-13 homolog A%2C transcript variant X7;transcript_id=XM_045853096.1
UNC13A	unc-13 homolog A%2C transcript variant X2;transcript_id=XM_045853091.1
UNC13A	unc-13 homolog A%2C transcript variant X10;transcript_id=XM_045853099.1
UNC13A	unc-13 homolog A%2C transcript variant X9;transcript_id=XM_045853098.1
UNC13A	unc-13 homolog A%2C transcript variant X6;transcript_id=XM_045853095.1
UNC13A	unc-13 homolog A%2C transcript variant X3;transcript_id=XM_045853092.1
UNC13A	unc-13 homolog A%2C transcript variant X8;transcript_id=XM_045853097.1
UNC13A	unc-13 homolog A%2C transcript variant X5;transcript_id=XM_045853094.1
UNC13A	unc-13 homolog A%2C transcript variant X1;transcript_id=XM_045853090.1
UNC13A	unc-13 homolog A%2C transcript variant X11;transcript_id=XM_045853100.1
MAP1S	microtubule associated protein 1S;transcript_id=XM_045853255.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X2;transcript_id=XM_045853449.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X8;transcript_id=XM_045853455.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X3;transcript_id=XM_045853450.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X6;transcript_id=XM_045853453.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X5;transcript_id=XM_045853452.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X1;transcript_id=XM_045853448.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X9;transcript_id=XM_045853456.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X4;transcript_id=XM_045853451.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X7;transcript_id=XM_045853454.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X10;transcript_id=XM_045853457.1
FCHO1	FCH and mu domain containing endocytic adaptor 1%2C transcript variant X11;transcript_id=XM_045853458.1
LOC123828315	N-acetyllactosaminide beta-1%2C3-N-acetylglucosaminyltransferase 3-like;transcript_id=XM_045853160.1
LOC123828328	F-BAR domain only protein 1-like;transcript_id=XM_045853194.1
LOC123828458	N-acetyllactosaminide beta-1%2C3-N-acetylglucosaminyltransferase 3-like;transcript_id=XM_045853461.1
INSL3	insulin like 3;transcript_id=XM_045853641.1
JAK3	Janus kinase 3%2C transcript variant X1;transcript_id=XM_045853499.1
JAK3	Janus kinase 3%2C transcript variant X2;transcript_id=XM_045853500.1
JAK3	Janus kinase 3%2C transcript variant X3;transcript_id=XM_045853501.1
RPL18A	ribosomal protein L18a;transcript_id=XM_045853189.1
LOC123828639	small nucleolar RNA SNORA68;transcript_id=XR_006787485.1
SLC5A5	solute carrier family 5 member 5;transcript_id=XM_045853367.1
CCDC124	coiled-coil domain containing 124%2C transcript variant X1;transcript_id=XM_045853275.1
CCDC124	coiled-coil domain containing 124%2C transcript variant X2;transcript_id=XM_045853276.1
KCNN1	potassium calcium-activated channel subfamily N member 1%2C transcript variant X1;transcript_id=XM_045853336.1
KCNN1	potassium calcium-activated channel subfamily N member 1%2C transcript variant X2;transcript_id=XM_045853337.1
ARRDC2	arrestin domain containing 2%2C transcript variant X2;transcript_id=XM_045853495.1
ARRDC2	arrestin domain containing 2%2C transcript variant X1;transcript_id=XM_045853494.1
IL12RB1	interleukin 12 receptor subunit beta 1%2C transcript variant X3;transcript_id=XR_006787458.1
IL12RB1	interleukin 12 receptor subunit beta 1%2C transcript variant X1;transcript_id=XM_045853156.1
IL12RB1	interleukin 12 receptor subunit beta 1%2C transcript variant X2;transcript_id=XM_045853157.1
LOC123828313	uncharacterized LOC123828313;transcript_id=XR_006787459.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X11;transcript_id=XM_045852899.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X1;transcript_id=XM_045852888.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X3;transcript_id=XM_045852890.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X2;transcript_id=XM_045852889.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X4;transcript_id=XM_045852891.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X13;transcript_id=XM_045852901.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X8;transcript_id=XM_045852896.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X5;transcript_id=XM_045852893.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X7;transcript_id=XM_045852895.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X6;transcript_id=XM_045852894.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X15;transcript_id=XM_045852905.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X16;transcript_id=XM_045852906.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X17;transcript_id=XM_045852907.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X9;transcript_id=XM_045852897.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X12;transcript_id=XM_045852900.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X10;transcript_id=XM_045852898.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X14;transcript_id=XM_045852902.1
MAST3	microtubule associated serine/threonine kinase 3%2C transcript variant X18;transcript_id=XM_045852908.1
PIK3R2	phosphoinositide-3-kinase regulatory subunit 2;transcript_id=XM_045853125.1
IFI30	IFI30 lysosomal thiol reductase%2C transcript variant X2;transcript_id=XM_045853127.1
IFI30	IFI30 lysosomal thiol reductase%2C transcript variant X1;transcript_id=XM_045853126.1
MPV17L2	MPV17 mitochondrial inner membrane protein like 2%2C transcript variant X1;transcript_id=XM_045853353.1
MPV17L2	MPV17 mitochondrial inner membrane protein like 2%2C transcript variant X2;transcript_id=XM_045853354.1
RAB3A	RAB3A%2C member RAS oncogene family%2C transcript variant X2;transcript_id=XM_045853351.1
RAB3A	RAB3A%2C member RAS oncogene family%2C transcript variant X1;transcript_id=XM_045853350.1
PDE4C	phosphodiesterase 4C%2C transcript variant X2;transcript_id=XM_045853089.1
PDE4C	phosphodiesterase 4C%2C transcript variant X1;transcript_id=XM_045853088.1
IQCN	IQ motif containing N;transcript_id=XM_045853631.1
JUND	JunD proto-oncogene%2C AP-1 transcription factor subunit;transcript_id=XM_045853472.1
LSM4	LSM4 homolog%2C U6 small nuclear RNA and mRNA degradation associated%2C transcript variant X3;transcript_id=XM_045852921.1
LSM4	LSM4 homolog%2C U6 small nuclear RNA and mRNA degradation associated%2C transcript variant X1;transcript_id=XM_045852919.1
LSM4	LSM4 homolog%2C U6 small nuclear RNA and mRNA degradation associated%2C transcript variant X2;transcript_id=XM_045852920.1
PGPEP1	pyroglutamyl-peptidase I%2C transcript variant X3;transcript_id=XM_045852917.1
PGPEP1	pyroglutamyl-peptidase I%2C transcript variant X1;transcript_id=XM_045852915.1
