gene	description
NUP35	nucleoporin 35%2C transcript variant X1;transcript_id=XM_045830674.1
DUSP19	dual specificity phosphatase 19;transcript_id=XM_045825834.1
NCKAP1	NCK associated protein 1%2C transcript variant X2;transcript_id=XM_045846472.1
NCKAP1	NCK associated protein 1%2C transcript variant X1;transcript_id=XM_045846382.1
FRZB	frizzled related protein;transcript_id=XM_045829305.1
LOC123812574	60S ribosomal protein L31;transcript_id=XM_045829385.1
DNAJC10	DnaJ heat shock protein family (Hsp40) member C10%2C transcript variant X2;transcript_id=XM_045816977.1
DNAJC10	DnaJ heat shock protein family (Hsp40) member C10%2C transcript variant X1;transcript_id=XM_045816930.1
PDE1A	phosphodiesterase 1A%2C transcript variant X2;transcript_id=XM_045823309.1
PDE1A	phosphodiesterase 1A%2C transcript variant X1;transcript_id=XM_045823222.1
PDE1A	phosphodiesterase 1A%2C transcript variant X3;transcript_id=XM_045823381.1
PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C%2C transcript variant X2;transcript_id=XM_045822997.1
PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C%2C transcript variant X1;transcript_id=XM_045822921.1
LOC123807825	heat shock transcription factor%2C Y-linked-like;transcript_id=XM_045822288.1
LOC123808423	uncharacterized LOC123808423%2C transcript variant X2;transcript_id=XR_006783791.1
LOC123808423	uncharacterized LOC123808423%2C transcript variant X1;transcript_id=XR_006783789.1
LOC123814312	U1 spliceosomal RNA;transcript_id=XR_006784886.1
ITPRID2	ITPR interacting domain containing 2%2C transcript variant X3;transcript_id=XM_045846730.1
ITPRID2	ITPR interacting domain containing 2%2C transcript variant X4;transcript_id=XM_045846813.1
ITPRID2	ITPR interacting domain containing 2%2C transcript variant X2;transcript_id=XM_045846654.1
ITPRID2	ITPR interacting domain containing 2%2C transcript variant X1;transcript_id=XM_045846589.1
LOC123804290	uncharacterized LOC123804290;transcript_id=XR_006784935.1
NEUROD1	neuronal differentiation 1;transcript_id=XM_045818813.1
CERKL	ceramide kinase like%2C transcript variant X2;transcript_id=XM_045841632.1
CERKL	ceramide kinase like%2C transcript variant X6;transcript_id=XM_045841937.1
CERKL	ceramide kinase like%2C transcript variant X1;transcript_id=XM_045841563.1
CERKL	ceramide kinase like%2C transcript variant X3;transcript_id=XM_045841694.1
CERKL	ceramide kinase like%2C transcript variant X5;transcript_id=XM_045841839.1
CERKL	ceramide kinase like%2C transcript variant X4;transcript_id=XM_045841764.1
LOC123814380	small nucleolar RNA U3;transcript_id=XR_006784893.1
ITGA4	integrin subunit alpha 4;transcript_id=XM_045841441.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X5;transcript_id=XR_006783630.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X8;transcript_id=XR_006783650.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X2;transcript_id=XR_006783620.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X4;transcript_id=XR_006783626.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X1;transcript_id=XR_006783617.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X3;transcript_id=XR_006783623.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X6;transcript_id=XR_006783636.1
LOC123807250	uncharacterized LOC123807250%2C transcript variant X7;transcript_id=XR_006783644.1
UBE2E3	ubiquitin conjugating enzyme E2 E3%2C transcript variant X3;transcript_id=XM_045852488.1
UBE2E3	ubiquitin conjugating enzyme E2 E3%2C transcript variant X1;transcript_id=XM_045852352.1
UBE2E3	ubiquitin conjugating enzyme E2 E3%2C transcript variant X4;transcript_id=XM_045852577.1
UBE2E3	ubiquitin conjugating enzyme E2 E3%2C transcript variant X5;transcript_id=XM_045852663.1
UBE2E3	ubiquitin conjugating enzyme E2 E3%2C transcript variant X2;transcript_id=XM_045852411.1
LOC123814328	U1 spliceosomal RNA;transcript_id=XR_006784888.1
CWC22	CWC22 spliceosome associated protein homolog%2C transcript variant X1;transcript_id=XM_045831040.1
CWC22	CWC22 spliceosome associated protein homolog%2C transcript variant X3;transcript_id=XM_045831061.1
CWC22	CWC22 spliceosome associated protein homolog%2C transcript variant X2;transcript_id=XM_045831050.1
LOC123814407	U6 spliceosomal RNA;transcript_id=XR_006784904.1
ZNF385B	zinc finger protein 385B%2C transcript variant X1;transcript_id=XM_045823881.1
ZNF385B	zinc finger protein 385B%2C transcript variant X2;transcript_id=XM_045830264.1
ZNF385B	zinc finger protein 385B%2C transcript variant X3;transcript_id=XM_045830969.1
ZNF385B	zinc finger protein 385B%2C transcript variant X4;transcript_id=XM_045831789.1
ZNF385B	zinc finger protein 385B%2C transcript variant X5;transcript_id=XM_045832533.1
SESTD1	SEC14 and spectrin domain containing 1;transcript_id=XM_045842967.1
CCDC141	coiled-coil domain containing 141%2C transcript variant X2;transcript_id=XM_045851162.1
CCDC141	coiled-coil domain containing 141%2C transcript variant X1;transcript_id=XM_045851134.1
CCDC141	coiled-coil domain containing 141%2C transcript variant X4;transcript_id=XM_045851306.1
CCDC141	coiled-coil domain containing 141%2C transcript variant X5;transcript_id=XM_045851386.1
CCDC141	coiled-coil domain containing 141%2C transcript variant X3;transcript_id=XM_045851220.1
